arm_label	run	started_kst	experiment	session	arm	mix	req_per_s	duration_min	model	seed	engine	metrics_sha256	metrics_bytes	scheduler_spec	scheduler_spec_sha256	policy_flags
session check, FIFO	260813_2326_exp81r1_vllmcachefifo_m1_rpm_2100	2026-08-14 15:26 KST	exp81	exp81r1	vllmcachefifo	m1	35.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	b3506a2e253077e8	8903449	scheduler_deploy_exp81r1_vllmcachefifo_m1.yaml	86e2f0b7cba7ab7f	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
session check, FIFO	260813_2342_exp81r2_vllmcachefifo_m1_rpm_2100	2026-08-14 15:42 KST	exp81	exp81r2	vllmcachefifo	m1	35.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	39844c9f60270ed7	8903439	scheduler_deploy_exp81r2_vllmcachefifo_m1.yaml	edbfaac4b737229f	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0229_exp77r1_vllmcache_m1_rpm_600	2026-08-10 18:29 KST	exp77	exp77r1	vllmcache	m1	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	d35deba7ce73d71e	2515815	scheduler_deploy_exp77r1_vllmcache_m1.yaml	148f13450565278b	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0538_exp77r2_vllmcache_m1_rpm_600	2026-08-10 21:38 KST	exp77	exp77r2	vllmcache	m1	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	5ab012c1cb0ef7d1	2515473	scheduler_deploy_exp77r2_vllmcache_m1.yaml	182b191664131921	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0248_exp77r1_vllmcache_m1_rpm_900	2026-08-10 18:48 KST	exp77	exp77r1	vllmcache	m1	15.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	f41f7f9cc9cb0328	3756770	scheduler_deploy_exp77r1_vllmcache_m1.yaml	148f13450565278b	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0557_exp77r2_vllmcache_m1_rpm_900	2026-08-10 21:57 KST	exp77	exp77r2	vllmcache	m1	15.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	ed6c555824a6b633	3755792	scheduler_deploy_exp77r2_vllmcache_m1.yaml	182b191664131921	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0301_exp77r1_vllmcache_m1_rpm_1200	2026-08-10 19:01 KST	exp77	exp77r1	vllmcache	m1	20.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	be3af2ef7f480539	5021135	scheduler_deploy_exp77r1_vllmcache_m1.yaml	148f13450565278b	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0610_exp77r2_vllmcache_m1_rpm_1200	2026-08-10 22:10 KST	exp77	exp77r2	vllmcache	m1	20.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	a2c4eaefa43642bc	5019822	scheduler_deploy_exp77r2_vllmcache_m1.yaml	182b191664131921	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0314_exp77r1_vllmcache_m1_rpm_1500	2026-08-10 19:14 KST	exp77	exp77r1	vllmcache	m1	25.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	43ce7f9c697faf27	6296610	scheduler_deploy_exp77r1_vllmcache_m1.yaml	148f13450565278b	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
vLLM router + FIFO	260810_0623_exp77r2_vllmcache_m1_rpm_1500	2026-08-10 22:23 KST	exp77	exp77r2	vllmcache	m1	25.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	e9afeffd2c4a6291	6298489	scheduler_deploy_exp77r2_vllmcache_m1.yaml	182b191664131921	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy vllm-cache --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
