hour_bin_centre,conversation_share_pct,conversation_requests,code_requests,window_average_share_pct,bin_minutes
0.0833,71.7070,13942.0000,5501.0000,69.2765,10
0.2500,70.5649,13142.0000,5482.0000,69.2765,10
0.4167,70.6906,13082.0000,5424.0000,69.2765,10
0.5833,73.7625,13635.0000,4850.0000,69.2765,10
0.7500,69.6526,13312.0000,5800.0000,69.2765,10
0.9167,71.2401,13718.0000,5538.0000,69.2765,10
1.0833,73.3680,14408.0000,5230.0000,69.2765,10
1.2500,76.7032,14490.0000,4401.0000,69.2765,10
1.4167,76.8324,16416.0000,4950.0000,69.2765,10
1.5833,76.6192,15887.0000,4848.0000,69.2765,10
1.7500,75.3153,15048.0000,4932.0000,69.2765,10
1.9167,76.2226,15727.0000,4906.0000,69.2765,10
2.0833,77.0423,15702.0000,4679.0000,69.2765,10
2.2500,79.2958,15270.0000,3987.0000,69.2765,10
2.4167,79.0197,15186.0000,4032.0000,69.2765,10
2.5833,80.3835,15932.0000,3888.0000,69.2765,10
2.7500,78.3326,16048.0000,4439.0000,69.2765,10
2.9167,75.0606,14245.0000,4733.0000,69.2765,10
3.0833,75.0064,14738.0000,4911.0000,69.2765,10
3.2500,75.8493,15562.0000,4955.0000,69.2765,10
3.4167,72.8419,13754.0000,5128.0000,69.2765,10
3.5833,75.5510,14876.0000,4814.0000,69.2765,10
3.7500,76.2907,14171.0000,4404.0000,69.2765,10
3.9167,77.2440,14569.0000,4292.0000,69.2765,10
4.0833,76.4157,14898.0000,4598.0000,69.2765,10
4.2500,74.4915,14832.0000,5079.0000,69.2765,10
4.4167,74.7465,14743.0000,4981.0000,69.2765,10
4.5833,76.6673,14967.0000,4555.0000,69.2765,10
4.7500,77.3259,15667.0000,4594.0000,69.2765,10
4.9167,74.3431,15447.0000,5331.0000,69.2765,10
5.0833,73.0528,16076.0000,5930.0000,69.2765,10
5.2500,73.8413,16457.0000,5830.0000,69.2765,10
5.4167,73.7922,16801.0000,5967.0000,69.2765,10
5.5833,72.7769,17473.0000,6536.0000,69.2765,10
5.7500,71.5356,17768.0000,7070.0000,69.2765,10
5.9167,68.5263,17061.0000,7836.0000,69.2765,10
6.0833,68.2594,18071.0000,8403.0000,69.2765,10
6.2500,64.6979,16672.0000,9097.0000,69.2765,10
6.4167,60.3278,16268.0000,10698.0000,69.2765,10
6.5833,60.4859,18450.0000,12053.0000,69.2765,10
6.7500,56.5264,17842.0000,13722.0000,69.2765,10
6.9167,55.2181,19233.0000,15598.0000,69.2765,10
7.0833,57.3891,21176.0000,15723.0000,69.2765,10
7.2500,57.0334,22474.0000,16931.0000,69.2765,10
7.4167,54.2644,22714.0000,19144.0000,69.2765,10
7.5833,51.2974,22063.0000,20947.0000,69.2765,10
7.7500,49.0474,21702.0000,22545.0000,69.2765,10
7.9167,52.5526,22461.0000,20279.0000,69.2765,10
8.0833,45.5117,21269.0000,25464.0000,69.2765,10
