minute_of_window,minute_in_zoom,conversation_share_pct,total_requests
1010,0,52.9840,3569.0000
1011,1,50.3000,3833.0000
1012,2,45.6422,3488.0000
1013,3,48.1181,3693.0000
1014,4,44.9229,3437.0000
1015,5,48.5948,3914.0000
1016,6,54.3497,3437.0000
1017,7,54.3203,3553.0000
1018,8,52.7944,3686.0000
1019,9,51.0528,3277.0000
1020,10,51.7379,3251.0000
1021,11,54.9348,3222.0000
1022,12,54.6597,3423.0000
1023,13,60.6899,3218.0000
1024,14,50.7311,3146.0000
1025,15,55.9091,3080.0000
1026,16,57.7119,3138.0000
1027,17,56.4686,3517.0000
1028,18,60.6824,3253.0000
1029,19,56.3608,3215.0000
1030,20,59.3515,3454.0000
1031,21,53.0120,3320.0000
1032,22,57.3338,3143.0000
1033,23,64.2766,3138.0000
1034,24,55.8077,2996.0000
1035,25,59.4721,3410.0000
1036,26,58.1085,3521.0000
1037,27,57.6945,3548.0000
1038,28,55.1938,3716.0000
1039,29,55.5830,3242.0000
1040,30,54.4746,3464.0000
1041,31,57.0794,3376.0000
1042,32,57.5182,3425.0000
1043,33,55.7879,3395.0000
1044,34,55.8108,2960.0000
1045,35,55.5386,3286.0000
1046,36,59.2319,3515.0000
1047,37,61.6781,3194.0000
1048,38,59.1509,3180.0000
1049,39,57.3182,3259.0000
1050,40,60.3056,3338.0000
1051,41,62.0919,3308.0000
1052,42,57.5601,3492.0000
1053,43,58.6126,3431.0000
1054,44,62.2376,3477.0000
1055,45,61.0890,3269.0000
1056,46,63.1546,3170.0000
1057,47,63.7904,3187.0000
1058,48,61.4069,3099.0000
1059,49,70.1249,3123.0000
1060,50,69.4013,3157.0000
1061,51,63.7171,3266.0000
1062,52,67.7742,3401.0000
1063,53,66.4352,3456.0000
1064,54,66.3014,2920.0000
1065,55,65.6823,3657.0000
1066,56,63.4126,3616.0000
1067,57,70.8248,3431.0000
1068,58,68.9757,3378.0000
1069,59,70.0000,3410.0000
