model,arm,repeat,cut_minute,met_r_s,missed_r_s,goodput_tok_s,met,missed,rejected,unfinished,arrivals,rejected_pct,rule,note
Llama-3.1-70B,vLLM,2,59.2500,5.9496,7.1648,2815.2447,21151,25471,0,40713,87335,0.0000,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,vLLM,1,59.2500,6.0329,7.3190,2865.0973,21447,26019,0,40689,88155,0.0000,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,PolyServe,2,59.2500,14.5252,7.7623,8525.3446,51637,27595,17443,9,96684,18.0412,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,PolyServe,1,59.2500,14.0776,6.9412,8396.1578,50046,24676,21959,6,96687,22.7114,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,Llumnix SLO,2,59.2500,7.7584,8.7075,6810.0059,27581,30955,38126,16,96678,39.4361,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,Llumnix SLO,1,59.2500,7.6470,8.8940,6806.0214,27185,31618,37870,24,96697,39.1636,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,llm-d,2,59.2500,15.3339,0.3207,8489.5792,54512,1140,41034,2,96688,42.4396,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,llm-d,1,59.2500,13.5581,0.2970,7835.1319,48199,1056,47439,2,96696,49.0599,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,FluidServe,2,59.2500,21.5153,0.0084,11455.5165,76487,30,20173,3,96693,20.8629,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Llama-3.1-70B,FluidServe,1,59.2500,21.7108,0.0118,11506.1328,77182,42,19457,3,96684,20.1243,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,vLLM,2,58.7500,4.2409,3.0573,3069.9078,14949,10777,0,30347,56073,0.0000,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,vLLM,1,58.7500,4.2414,3.4479,3075.1118,14951,12154,0,30343,57448,0.0000,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,PolyServe,2,58.7500,10.5399,0.2482,9504.5186,37153,875,23479,2,61509,38.1716,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,PolyServe,1,58.7500,10.4865,0.2587,9485.3623,36965,912,23618,2,61497,38.4051,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,Llumnix SLO,2,58.7500,5.2695,4.5688,7884.8916,18575,16105,26758,72,61510,43.5019,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,Llumnix SLO,1,58.7500,5.2533,4.6374,7882.5268,18518,16347,26551,85,61501,43.1717,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,llm-d,2,58.7500,9.9481,0.1725,9382.6786,35067,608,25836,3,61514,42.0002,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,llm-d,1,58.7500,9.5628,0.1889,9172.8687,33709,666,27135,7,61517,44.1098,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,FluidServe,2,58.7500,14.1654,0.0102,12097.7410,49933,36,11525,11,61505,18.7383,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
Qwen2.5-72B,FluidServe,1,58.7500,14.1906,0.0133,12122.6885,50022,47,11433,13,61515,18.5857,"ladder95, standard budgets","bar = accepted requests per second, split met/missed; unfinished and rejected are excluded from the bar"
