k,arm,n_arrivals,quantile_of_arrivals_pct,normalised_per_token
0.9,FluidServe,16193,5,0.4503
0.9,FluidServe,16193,10,0.5942
0.9,FluidServe,16193,15,0.7227
0.9,FluidServe,16193,20,0.8192
0.9,FluidServe,16193,25,0.8511
0.9,FluidServe,16193,30,0.8643
0.9,FluidServe,16193,35,0.872
0.9,FluidServe,16193,40,0.8774
0.9,FluidServe,16193,45,0.882
0.9,FluidServe,16193,50,0.886
0.9,FluidServe,16193,55,0.8898
0.9,FluidServe,16193,60,0.8937
0.9,FluidServe,16193,65,0.8981
0.9,FluidServe,16193,70,0.9039
0.9,FluidServe,16193,75,0.9158
0.9,FluidServe,16193,80,0.9995
0.9,llm-d,16172,5,0.4122
0.9,llm-d,16172,10,0.4784
0.9,llm-d,16172,15,0.5863
0.9,llm-d,16172,20,0.7004
0.9,llm-d,16172,25,0.9597
0.9,PolyServe,16128,5,0.4943
0.9,PolyServe,16128,10,0.6269
0.9,PolyServe,16128,15,0.7605
0.9,PolyServe,16128,20,1.0885
0.9,PolyServe,16128,25,1.1675
0.9,PolyServe,16128,30,1.1947
0.9,PolyServe,16128,35,1.211
0.9,PolyServe,16128,40,1.2226
0.9,PolyServe,16128,45,1.2343
0.9,PolyServe,16128,50,1.2446
0.9,PolyServe,16128,55,1.2542
0.9,PolyServe,16128,60,1.2635
0.9,PolyServe,16128,65,1.2732
0.9,PolyServe,16128,70,1.2847
0.9,PolyServe,16128,75,1.3025
0.9,PolyServe,16128,80,1.333
0.9,PolyServe,16128,85,1.5607
0.9,Llumnix SLO,16143,5,0.776
0.9,Llumnix SLO,16143,10,0.8163
0.9,Llumnix SLO,16143,15,1.0095
0.9,Llumnix SLO,16143,20,1.1485
0.9,Llumnix SLO,16143,25,1.4621
0.9,Llumnix SLO,16143,30,1.5488
0.9,Llumnix SLO,16143,35,1.6044
0.9,Llumnix SLO,16143,40,1.665
0.9,Llumnix SLO,16143,45,1.7509
1.3,FluidServe,16129,5,0.4509
1.3,FluidServe,16129,10,0.549
1.3,FluidServe,16129,15,0.7451
1.3,FluidServe,16129,20,0.8358
1.3,FluidServe,16129,25,0.8644
1.3,FluidServe,16129,30,0.8767
1.3,FluidServe,16129,35,0.8849
1.3,FluidServe,16129,40,0.8902
1.3,FluidServe,16129,45,0.8945
1.3,FluidServe,16129,50,0.8986
1.3,FluidServe,16129,55,0.9024
1.3,FluidServe,16129,60,0.9063
1.3,FluidServe,16129,65,0.9102
1.3,FluidServe,16129,70,0.9153
1.3,FluidServe,16129,75,0.9235
1.3,FluidServe,16129,80,0.9475
1.3,FluidServe,16129,85,1.4465
1.3,llm-d,16177,5,0.3732
1.3,llm-d,16177,10,0.4173
1.3,llm-d,16177,15,0.5093
1.3,llm-d,16177,20,0.599
1.3,llm-d,16177,25,0.678
1.3,llm-d,16177,30,0.7328
1.3,llm-d,16177,35,0.7843
1.3,llm-d,16177,40,0.8346
1.3,llm-d,16177,45,0.9211
1.3,llm-d,16177,50,1.6196
1.3,PolyServe,16152,5,0.3425
1.3,PolyServe,16152,10,0.433
1.3,PolyServe,16152,15,0.5448
1.3,PolyServe,16152,20,0.7682
1.3,PolyServe,16152,25,0.8137
1.3,PolyServe,16152,30,0.8276
1.3,PolyServe,16152,35,0.837
1.3,PolyServe,16152,40,0.847
1.3,PolyServe,16152,45,0.8564
1.3,PolyServe,16152,50,0.8636
1.3,PolyServe,16152,55,0.8705
1.3,PolyServe,16152,60,0.8773
1.3,PolyServe,16152,65,0.8843
1.3,PolyServe,16152,70,0.8937
1.3,PolyServe,16152,75,0.9093
1.3,PolyServe,16152,80,0.9319
1.3,Llumnix SLO,16140,5,0.8714
1.3,Llumnix SLO,16140,10,1.1244
1.3,Llumnix SLO,16140,15,1.2229
1.3,Llumnix SLO,16140,20,1.407
1.3,Llumnix SLO,16140,25,1.6752
1.3,Llumnix SLO,16140,30,1.867
1.3,Llumnix SLO,16140,35,2.0282
1.3,Llumnix SLO,16140,40,2.1911
1.3,Llumnix SLO,16140,45,2.4269
1.3,Llumnix SLO,16140,50,2.7229
