arm,minute,attributed_pct,unit,chat,deepresearch,swe,total,mixed
(offered),0.0000,,arrivals per second,10.4167,0.5333,0.2500,11.2000,
(offered),1.0000,,arrivals per second,10.4333,0.5167,0.2667,11.2167,
(offered),2.0000,,arrivals per second,10.2333,0.5167,0.2500,11.0000,
(offered),3.0000,,arrivals per second,10.8500,0.5167,0.2833,11.6500,
(offered),4.0000,,arrivals per second,22.8333,1.1667,0.5667,24.5667,
(offered),5.0000,,arrivals per second,37.3333,1.8667,0.9500,40.1500,
(offered),6.0000,,arrivals per second,36.2000,1.7833,0.8833,38.8667,
(offered),7.0000,,arrivals per second,37.5667,1.8833,0.9500,40.4000,
(offered),8.0000,,arrivals per second,37.5667,1.8667,0.9500,40.3833,
(offered),9.0000,,arrivals per second,34.1333,1.7000,0.8333,36.6667,
(offered),10.0000,,arrivals per second,19.2167,1.0000,0.4833,20.7000,
(offered),11.0000,,arrivals per second,20.2667,1.0000,0.5000,21.7667,
(offered),12.0000,,arrivals per second,24.8167,1.2500,0.6167,26.6833,
(offered),13.0000,,arrivals per second,15.5000,0.7833,0.4000,16.6833,
(offered),14.0000,,arrivals per second,13.4333,0.6500,0.3333,14.4167,
(offered),15.0000,,arrivals per second,7.0500,6.8000,6.7833,20.6333,
(offered),16.0000,,arrivals per second,7.3333,7.3667,7.4167,22.1167,
(offered),17.0000,,arrivals per second,5.3667,5.3833,5.3333,16.0833,
(offered),18.0000,,arrivals per second,7.1000,7.1500,7.1167,21.3667,
(offered),19.0000,,arrivals per second,10.7500,10.7167,10.6833,32.1500,
(offered),20.0000,,arrivals per second,13.0333,12.9333,13.0333,39.0000,
(offered),21.0000,,arrivals per second,11.1667,11.3000,11.2167,33.6833,
(offered),22.0000,,arrivals per second,11.2000,11.1000,11.1333,33.4333,
(offered),23.0000,,arrivals per second,10.9500,10.9000,11.0000,32.8500,
(offered),24.0000,,arrivals per second,7.5167,7.6000,7.5500,22.6667,
(offered),25.0000,,arrivals per second,5.9000,5.9167,5.8833,17.7000,
(offered),26.0000,,arrivals per second,7.4000,7.4000,7.4833,22.2833,
(offered),27.0000,,arrivals per second,9.5667,9.5167,9.5000,28.5833,
(offered),28.0000,,arrivals per second,6.0667,6.1500,6.0000,18.2167,
(offered),29.0000,,arrivals per second,4.7500,4.7167,4.8500,14.3167,
(offered),30.0000,,arrivals per second,17.0667,3.5167,1.7333,22.3167,
(offered),31.0000,,arrivals per second,18.3000,3.6500,1.8333,23.7833,
(offered),32.0000,,arrivals per second,15.4000,3.0833,1.5667,20.0500,
(offered),33.0000,,arrivals per second,19.2000,3.8333,1.8833,24.9167,
(offered),34.0000,,arrivals per second,25.8500,5.1333,2.6000,33.5833,
(offered),35.0000,,arrivals per second,30.0667,6.0167,3.0167,39.1000,
(offered),36.0000,,arrivals per second,28.4167,5.7000,2.8167,36.9333,
(offered),37.0000,,arrivals per second,26.1833,5.2500,2.6500,34.0833,
(offered),38.0000,,arrivals per second,25.9000,5.1500,2.5833,33.6333,
(offered),39.0000,,arrivals per second,22.7000,4.6500,2.2833,29.6333,
(offered),40.0000,,arrivals per second,14.4833,2.8500,1.4500,18.7833,
(offered),41.0000,,arrivals per second,18.9000,3.7500,1.9000,24.5500,
(offered),42.0000,,arrivals per second,21.7500,4.3167,2.1667,28.2333,
(offered),43.0000,,arrivals per second,12.7000,2.5667,1.2333,16.5000,
(offered),44.0000,,arrivals per second,12.5167,2.5167,1.2500,16.2833,
(offered),45.0000,,arrivals per second,13.7500,6.8167,2.2667,22.8333,
(offered),46.0000,,arrivals per second,14.8000,7.4500,2.4667,24.7167,
(offered),47.0000,,arrivals per second,14.1333,7.0667,2.4167,23.6167,
(offered),48.0000,,arrivals per second,17.0667,8.5167,2.8000,28.3833,
(offered),49.0000,,arrivals per second,23.6333,11.7500,3.9167,39.3000,
(offered),50.0000,,arrivals per second,26.8333,13.4167,4.4833,44.7333,
(offered),51.0000,,arrivals per second,26.1500,13.1333,4.4000,43.6833,
(offered),52.0000,,arrivals per second,26.9833,13.4667,4.5000,44.9500,
(offered),53.0000,,arrivals per second,26.0167,12.9833,4.3333,43.3333,
(offered),54.0000,,arrivals per second,24.5000,12.3333,4.1000,40.9333,
(offered),55.0000,,arrivals per second,19.7833,9.8500,3.3000,32.9333,
(offered),56.0000,,arrivals per second,19.6833,9.8667,3.2667,32.8167,
(offered),57.0000,,arrivals per second,22.2500,11.0833,3.7000,37.0333,
(offered),58.0000,,arrivals per second,14.3667,7.2000,2.4000,23.9667,
(offered),59.0000,,arrivals per second,6.2000,3.0667,1.0167,10.2833,
FluidServe,0.0000,100.0000,instances devoted to the class,2.0000,1.0000,1.0000,4.0000,
FluidServe,0.0000,100.0000,instances whose majority class is this (>= 50%),2.0000,1.0000,1.0000,4.0000,0.0000
FluidServe,1.0000,100.0000,instances devoted to the class,1.0000,1.0000,1.0000,3.0000,
FluidServe,1.0000,100.0000,instances whose majority class is this (>= 50%),1.0000,1.0000,1.0000,3.0000,0.0000
FluidServe,2.0000,100.0000,instances devoted to the class,1.0000,1.0000,2.0000,4.0000,
FluidServe,2.0000,100.0000,instances whose majority class is this (>= 50%),1.0000,1.0000,2.0000,4.0000,0.0000
FluidServe,3.0000,100.0000,instances devoted to the class,1.0000,1.0000,1.0000,3.0000,
FluidServe,3.0000,100.0000,instances whose majority class is this (>= 50%),1.0000,1.0000,1.0000,3.0000,0.0000
FluidServe,4.0000,100.0000,instances devoted to the class,2.3734,1.0000,0.6266,4.0000,
FluidServe,4.0000,100.0000,instances whose majority class is this (>= 50%),2.0000,1.0000,1.0000,4.0000,0.0000
FluidServe,5.0000,100.0000,instances devoted to the class,3.0570,0.7730,0.1700,4.0000,
FluidServe,5.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,6.0000,100.0000,instances devoted to the class,3.4297,0.4481,0.1222,4.0000,
FluidServe,6.0000,100.0000,instances whose majority class is this (>= 50%),4.0000,0.0000,0.0000,4.0000,0.0000
FluidServe,7.0000,100.0000,instances devoted to the class,3.4560,0.4307,0.1133,4.0000,
FluidServe,7.0000,100.0000,instances whose majority class is this (>= 50%),4.0000,0.0000,0.0000,4.0000,0.0000
FluidServe,8.0000,100.0000,instances devoted to the class,3.4812,0.4007,0.1181,4.0000,
FluidServe,8.0000,100.0000,instances whose majority class is this (>= 50%),4.0000,0.0000,0.0000,4.0000,0.0000
FluidServe,9.0000,100.0000,instances devoted to the class,3.4220,0.4501,0.1280,4.0000,
FluidServe,9.0000,100.0000,instances whose majority class is this (>= 50%),4.0000,0.0000,0.0000,4.0000,0.0000
FluidServe,10.0000,100.0000,instances devoted to the class,2.9882,0.8337,0.1781,4.0000,
FluidServe,10.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,11.0000,100.0000,instances devoted to the class,3.0000,0.7780,0.2220,4.0000,
FluidServe,11.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,12.0000,100.0000,instances devoted to the class,3.0000,0.7810,0.2190,4.0000,
FluidServe,12.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,13.0000,100.0000,instances devoted to the class,3.0000,0.8020,0.1980,4.0000,
FluidServe,13.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,14.0000,100.0000,instances devoted to the class,3.0000,0.7744,0.2256,4.0000,
FluidServe,14.0000,100.0000,instances whose majority class is this (>= 50%),3.0000,1.0000,0.0000,4.0000,0.0000
FluidServe,15.0000,100.0000,instances devoted to the class,1.1055,1.8772,1.0173,4.0000,
FluidServe,15.0000,100.0000,instances whose majority class is this (>= 50%),1.0000,2.0000,0.0000,4.0000,1.0000
FluidServe,16.0000,100.0000,instances devoted to the class,0.8532,2.2132,0.9336,4.0000,
FluidServe,16.0000,100.0000,instances whose majority class is this (>= 50%),1.0000,3.0000,0.0000,4.0000,0.0000
