minute,lambda_chat,lambda_swe,lambda_deepresearch,instances_chat,instances_swe,instances_deepresearch,instances_total,fluidserve_r1_rejected_pct
0,9.1833,0.2333,0.4667,0.7949,0.0965,0.1868,1.0781,
1,10.4667,0.2500,0.5333,0.9060,0.1033,0.2135,1.2228,0.0000
2,10.4500,0.2833,0.5000,0.9045,0.1171,0.2001,1.2218,0.0000
3,10.0833,0.2333,0.5333,0.8728,0.0965,0.2135,1.1827,0.0000
4,10.9667,0.2833,0.5167,0.9492,0.1171,0.2068,1.2732,0.0000
5,23.0667,0.5667,1.1833,1.9966,0.2342,0.4737,2.7045,0.6106
6,37.3667,0.9500,1.8500,3.2343,0.3927,0.7405,4.3675,4.5700
7,36.2000,0.9000,1.8167,3.1334,0.3720,0.7272,4.2326,3.4719
8,37.6667,0.9333,1.8667,3.2603,0.3858,0.7472,4.3933,5.6541
9,37.7000,0.9500,1.8833,3.2632,0.3927,0.7539,4.4097,5.5281
10,33.7500,0.8500,1.7000,2.9213,0.3514,0.6805,3.9531,4.2727
11,19.1667,0.4667,0.9667,1.6590,0.1929,0.3869,2.2388,0.0000
12,20.3333,0.5167,1.0167,1.7600,0.2136,0.4069,2.3805,0.0000
13,24.8833,0.6167,1.2333,2.1538,0.2549,0.4937,2.9024,0.0000
14,15.3000,0.3833,0.7667,1.3243,0.1585,0.3069,1.7897,0.0000
15,13.4833,0.3333,0.6667,1.1671,0.1378,0.2669,1.5717,0.0000
16,6.9000,6.9000,6.9000,0.5972,2.8522,2.7619,6.2113,18.3657
17,7.3333,7.3500,7.3333,0.6347,3.0382,2.9354,6.6083,21.3695
18,5.4000,5.3833,5.4000,0.4674,2.2253,2.1615,4.8542,5.9190
19,7.1500,7.1333,7.1333,0.6189,2.9486,2.8553,6.4228,17.2253
20,10.7667,10.7833,10.8000,0.9319,4.4574,4.3230,9.7123,40.6120
21,13.0333,13.0167,13.0000,1.1281,5.3806,5.2036,11.7123,51.7727
22,11.1333,11.1667,11.1500,0.9637,4.6159,4.4631,10.0426,42.3343
23,11.1833,11.1667,11.1833,0.9680,4.6159,4.4764,10.0603,40.9272
24,10.9167,10.9167,10.9167,0.9449,4.5125,4.3697,9.8271,42.1106
25,7.5000,7.5000,7.5000,0.6492,3.1002,3.0021,6.7515,21.3235
26,5.8833,5.8833,5.9000,0.5092,2.4319,2.3616,5.3028,8.1921
27,7.4833,7.4833,7.4667,0.6477,3.0933,2.9887,6.7298,21.4820
28,9.5333,9.5500,9.5500,0.8252,3.9476,3.8226,8.5954,32.2242
29,6.0500,6.0333,6.0333,0.5237,2.4939,2.4150,5.4326,9.5978
30,4.7667,4.7667,4.7667,0.4126,1.9704,1.9080,4.2909,1.2806
31,17.2500,1.7167,3.4667,1.4931,0.7096,1.3876,3.5903,3.0574
32,18.2167,1.8333,3.6333,1.5768,0.7578,1.4543,3.7889,1.1236
33,15.4833,1.5500,3.0833,1.3402,0.6407,1.2342,3.2151,0.0000
34,19.2500,1.9167,3.8667,1.6662,0.7923,1.5477,4.0062,3.4159
35,25.9333,2.6000,5.1667,2.2447,1.0747,2.0681,5.3875,23.7103
36,30.0833,3.0000,6.0333,2.6039,1.2401,2.4150,6.2590,32.0956
37,28.2167,2.8333,5.6500,2.4423,1.1712,2.2616,5.8751,23.8846
38,26.2500,2.6167,5.2333,2.2721,1.0816,2.0948,5.4485,22.7606
39,25.9000,2.5833,5.2000,2.2418,1.0679,2.0814,5.3911,18.7624
40,22.8167,2.2833,4.5500,1.9749,0.9438,1.8213,4.7400,11.4173
41,14.2333,1.4333,2.8500,1.2320,0.5925,1.1408,2.9653,2.3936
42,19.0167,1.9000,3.8000,1.6460,0.7854,1.5211,3.9525,0.5431
43,21.7667,2.1833,4.3500,1.8841,0.9025,1.7412,4.5278,5.1948
44,12.5667,1.2500,2.5167,1.0877,0.5167,1.0074,2.6118,1.5152
45,12.5167,1.2500,2.5167,1.0834,0.5167,1.0074,2.6075,0.0000
46,13.8333,2.3000,6.9167,1.1974,0.9507,2.7686,4.9167,10.8029
47,14.7833,2.4667,7.3833,1.2796,1.0196,2.9554,5.2546,15.2291
48,14.0833,2.3500,7.0500,1.2190,0.9714,2.8220,5.0124,12.1383
49,17.1500,2.8500,8.5667,1.4844,1.1781,3.4290,6.0916,14.6384
50,23.6500,3.9500,11.8333,2.0471,1.6328,4.7366,8.4165,40.1528
51,26.8667,4.4667,13.4167,2.3255,1.8463,5.3704,9.5422,44.8919
52,26.1833,4.3833,13.1000,2.2663,1.8119,5.2436,9.3219,42.6286
53,27.0333,4.5000,13.5167,2.3399,1.8601,5.4104,9.6105,39.5478
54,26.0000,4.3333,13.0167,2.2505,1.7912,5.2103,9.2520,38.7991
55,24.4167,4.0667,12.2000,2.1134,1.6810,4.8834,8.6778,40.9849
56,19.7500,3.3000,9.8500,1.7095,1.3641,3.9427,7.0163,29.2362
57,19.6500,3.2667,9.8667,1.7008,1.3503,3.9494,7.0006,27.1066
58,22.3167,3.7333,11.1333,1.9317,1.5432,4.4564,7.9313,36.7237
59,14.2000,2.3500,7.1000,1.2291,0.9714,2.8420,5.0425,15.4381
60,10.2333,1.7167,5.1167,0.8858,0.7096,2.0481,3.6435,1.1345
