arm,repeat,run,cls,met,rejected,unfinished,missed,arrivals,ttft_p50,ttft_p95,tbt_p50,tbt_p95,n_done
vLLM,1,260901_2137_exp109r1_vllmcachet75_shift,all,21.8057,0.0000,51.7401,26.4542,98355,,,,,
vLLM,1,260901_2137_exp109r1_vllmcachet75_shift,chat,30.1683,0.0000,49.3544,20.4773,64359,0.3850,1388.0205,50.8908,146.8615,32593.0000
vLLM,1,260901_2137_exp109r1_vllmcachet75_shift,swe,4.6106,0.0000,54.7897,40.5997,12840,310.3337,1690.4910,135.3213,474.3124,5805.0000
vLLM,1,260901_2137_exp109r1_vllmcachet75_shift,deepresearch,6.8019,0.0000,57.1469,36.0512,21156,395.8410,1389.1726,96.2557,288.9833,9066.0000
vLLM,2,260901_2010_exp109r2_vllmcachet75_shift,all,21.6259,0.0000,52.3312,26.0429,97804,,,,,
vLLM,2,260901_2010_exp109r2_vllmcachet75_shift,chat,29.8389,0.0000,50.8134,19.3477,64054,0.3737,1226.6549,49.9444,195.7910,31497.0000
vLLM,2,260901_2010_exp109r2_vllmcachet75_shift,swe,4.6741,0.0000,48.1688,47.1571,12751,474.8505,1740.9074,164.2108,464.6223,6609.0000
vLLM,2,260901_2010_exp109r2_vllmcachet75_shift,deepresearch,6.8670,0.0000,59.4885,33.6445,20999,338.4796,1642.1930,92.6097,335.2839,8506.0000
Llumnix,1,260831_2346_exp109r1_slot75_shift,all,27.7042,39.3693,0.5121,32.4143,98216,,,,,
Llumnix,1,260831_2346_exp109r1_slot75_shift,chat,30.2553,45.9540,0.1540,23.6367,64273,0.4552,2.7586,61.9789,89.7720,34638.0000
Llumnix,1,260831_2346_exp109r1_slot75_shift,swe,17.9763,59.1129,0.3196,22.5912,12828,2.3758,15.2505,81.4589,109.3073,5204.0000
Llumnix,1,260831_2346_exp109r1_slot75_shift,deepresearch,25.8489,7.3313,1.7192,65.1006,21115,17.2490,23.9130,72.8138,84.3417,19204.0000
Llumnix,2,260901_1856_exp109r2_slot75_shift,all,28.0967,39.6440,0.5567,31.7026,98257,,,,,
Llumnix,2,260901_1856_exp109r2_slot75_shift,chat,29.7350,46.3125,0.1866,23.7659,64298,0.4524,3.0052,62.5093,88.5273,34400.0000
Llumnix,2,260901_1856_exp109r2_slot75_shift,swe,19.4343,59.3236,0.3585,20.8837,12833,2.0800,14.2185,81.1770,104.6213,5174.0000
Llumnix,2,260901_1856_exp109r2_slot75_shift,deepresearch,28.3726,7.3937,1.8035,62.4302,21126,17.1403,23.8562,72.7541,84.8138,19183.0000
PolyServe,1,260831_2232_exp109r1_polyservept75_shift,all,51.8540,22.4695,0.2158,25.4607,98222,,,,,
PolyServe,1,260831_2232_exp109r1_polyservept75_shift,chat,47.5614,13.7012,0.1213,38.6160,64279,0.4544,2.6424,61.9564,69.3437,55394.0000
PolyServe,1,260831_2232_exp109r1_polyservept75_shift,swe,79.2735,19.9392,0.0857,0.7015,12829,0.8424,4.5419,50.7969,59.1558,10260.0000
PolyServe,1,260831_2232_exp109r1_polyservept75_shift,deepresearch,48.2618,50.7010,0.5826,0.4547,21114,1.1648,5.3816,48.0700,54.2783,10286.0000
PolyServe,2,260901_1742_exp109r2_polyservept75_shift,all,53.4475,17.8342,0.2290,28.4893,98244,,,,,
PolyServe,2,260901_1742_exp109r2_polyservept75_shift,chat,51.3983,5.2198,0.1384,43.2435,64294,0.4504,1.7880,62.4021,70.0565,60849.0000
PolyServe,2,260901_1742_exp109r2_polyservept75_shift,swe,81.1302,18.2541,0.0935,0.5222,12830,0.7792,4.4012,50.9637,60.7723,10476.0000
PolyServe,2,260901_1742_exp109r2_polyservept75_shift,deepresearch,42.8693,55.9801,0.5871,0.5634,21120,1.1857,5.3900,48.0620,55.8428,9173.0000
llm-d,1,260831_2128_exp109r1_llmdslot75_shift,all,49.7857,49.0099,0.1293,1.0751,98227,,,,,
llm-d,1,260831_2128_exp109r1_llmdslot75_shift,chat,47.6090,51.5510,0.0498,0.7903,64282,0.3009,1.1124,39.3002,53.8351,31111.0000
llm-d,1,260831_2128_exp109r1_llmdslot75_shift,swe,47.6499,50.0273,0.0468,2.2761,12829,0.6285,3.1865,40.1462,70.6506,6405.0000
llm-d,1,260831_2128_exp109r1_llmdslot75_shift,deepresearch,57.7098,40.6564,0.4215,1.2124,21116,0.6855,6.7848,41.7737,74.5627,12442.0000
llm-d,2,260901_1637_exp109r2_llmdslot75_shift,all,56.1896,42.4294,0.2168,1.1642,98262,,,,,
llm-d,2,260901_1637_exp109r2_llmdslot75_shift,chat,58.1301,40.7206,0.0762,1.0730,64304,0.3118,0.9974,40.3667,53.0348,38069.0000
llm-d,2,260901_1637_exp109r2_llmdslot75_shift,swe,47.9152,50.1286,0.0701,1.8861,12831,0.6133,2.0181,43.1208,70.5912,6390.0000
llm-d,2,260901_1637_exp109r2_llmdslot75_shift,deepresearch,55.3084,42.9545,0.7337,1.0035,21127,0.7227,6.0054,43.8470,74.5234,11897.0000
FluidServe,1,260831_2015_exp109r1_fsv3capgnofrct75_shift,all,79.8219,19.8941,0.2412,0.0428,98240,,,,,
FluidServe,1,260831_2015_exp109r1_fsv3capgnofrct75_shift,chat,84.7819,15.1496,0.0638,0.0047,64292,0.4248,1.4447,43.5634,45.7420,54511.0000
FluidServe,1,260831_2015_exp109r1_fsv3capgnofrct75_shift,swe,74.4037,25.1520,0.1403,0.3040,12830,1.4906,3.8392,70.7084,75.8873,9585.0000
FluidServe,1,260831_2015_exp109r1_fsv3capgnofrct75_shift,deepresearch,68.0131,31.1440,0.8429,0.0000,21118,1.7257,5.3929,71.1340,75.2665,14363.0000
FluidServe,2,260901_1514_exp109r2_fsv3capgnofrct75_shift,all,79.1154,20.6250,0.2291,0.0305,98211,,,,,
FluidServe,2,260901_1514_exp109r2_fsv3capgnofrct75_shift,chat,83.6243,16.3166,0.0513,0.0078,64272,0.4220,1.5039,43.4706,45.7540,53752.0000
FluidServe,2,260901_1514_exp109r2_fsv3capgnofrct75_shift,swe,72.9867,26.6781,0.1403,0.1949,12827,1.4568,3.9148,70.6925,76.0045,9387.0000
FluidServe,2,260901_1514_exp109r2_fsv3capgnofrct75_shift,deepresearch,69.1124,30.0635,0.8242,0.0000,21112,1.7061,5.3278,71.1682,75.2268,14591.0000
