arm,engine_rank,engine_port,minute,attainment_pct,rejected_pct,window_s,step_s,run,denominator,rule
PolyServe,fleet,,0.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,1.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,2.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,3.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,4.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,5.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,6.5,,25.6229,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,7.5,,24.3359,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,8.5,,24.5665,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,9.5,,27.6175,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,10.5,,19.8996,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,11.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,12.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,13.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,14.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,15.5,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,16.5,,20.2429,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,17.5,,24.9811,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,18.5,,10.0103,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,19.5,,23.0289,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
