arm,engine_rank,engine_port,minute,attainment_pct,rejected_pct,window_s,step_s,run,denominator,rule
PolyServe,fleet,,0.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,1.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,2.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,3.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,4.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,5.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,6.0,,14.0384,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,7.0,,25.0722,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,8.0,,25.9746,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,9.0,,26.5487,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,10.0,,24.5455,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,11.0,,8.2024,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,12.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,13.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,14.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,15.0,,0.0,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,16.0,,6.0465,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,17.0,,30.5684,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,18.0,,15.1152,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
PolyServe,fleet,,19.0,,17.5918,60.0,60.0,exp109r1,"ALL arrivals in that minute, fleet-wide; drawn on the left axis with its top as 100%",is_rejected in metrics.csv
