arm,engine_rank,engine_port,series,minute,value,resident_chat,resident_deepresearch,resident_swe,budgets
llm-d,1,8003,tbt_ms,0.0145,8.92,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.0312,8.95,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.0478,8.94,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.0645,8.955,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.0812,8.95,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.0978,8.97,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1145,9.03,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1312,9.072,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1478,9.102,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1645,9.128,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1812,9.148,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.1978,9.197,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2145,9.224,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2312,9.265,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2478,9.324,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2645,9.411,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2812,9.54,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.2978,9.607,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3145,9.692,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3312,9.772,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3478,9.84,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3645,9.911,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3812,9.996,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.3978,10.099,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4145,10.239,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4312,10.344,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4478,10.413,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4645,10.489,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4812,10.58,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.4978,10.685,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5145,10.817,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5312,10.908,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5478,11.022,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5645,11.133,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5812,11.257,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.5978,11.406,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6145,11.528,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6312,11.653,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6478,11.819,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6645,11.989,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6812,12.132,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.6978,12.297,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7145,12.465,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7312,12.643,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7478,12.834,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7645,13.062,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7812,13.372,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.7978,13.666,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8145,13.907,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8312,14.137,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8478,14.367,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8645,14.563,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8812,14.771,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8978,14.91,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9145,15.029,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9312,15.135,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9478,15.194,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9645,15.235,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9812,15.257,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9978,15.275,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0145,15.305,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0312,15.363,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0478,15.384,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0645,15.396,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0812,15.408,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0978,15.415,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1145,15.419,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1312,15.443,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1478,15.477,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1645,15.517,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1812,15.573,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1978,15.611,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2145,15.683,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2312,15.777,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2478,15.848,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2645,15.897,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2812,15.975,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2978,16.027,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3145,16.121,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3312,16.149,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3478,16.218,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3645,16.263,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3812,16.305,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3978,16.387,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4145,16.421,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4312,16.495,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4478,16.582,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4645,16.645,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4812,16.702,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4978,16.786,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5145,16.855,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5312,16.901,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
