arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,0.0139,26.8747,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.0305,26.8694,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.0472,26.8953,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.0639,26.8885,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.0805,26.9191,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.0972,26.9205,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1139,26.9473,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1305,26.9625,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1472,26.9538,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1639,26.9838,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1805,27.0041,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.1972,26.9466,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2139,27.0033,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2305,26.9937,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2472,27.0164,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2639,27.049,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2805,27.0698,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.2972,27.1165,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.3139,27.147,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.3305,27.1601,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.3472,27.2096,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
