arm,engine_rank,minute,attributed_pct,late_share_run_pct,resident_chat_ontime,share_chat_ontime_pct,resident_chat_late,share_chat_late_pct,resident_deepresearch_ontime,share_deepresearch_ontime_pct,resident_deepresearch_late,share_deepresearch_late_pct,resident_swe_ontime,share_swe_ontime_pct,resident_swe_late,share_swe_late_pct,resident_total,unit
FluidServe,1,0.0000,100.0000,0.0400,104.9708,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.9708,mean concurrently resident requests in a 60 s window
FluidServe,1,1.0000,100.0000,0.0400,122.3776,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.3776,mean concurrently resident requests in a 60 s window
FluidServe,1,2.0000,100.0000,0.0400,115.5629,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,115.5629,mean concurrently resident requests in a 60 s window
FluidServe,1,3.0000,100.0000,0.0400,139.8353,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,139.8353,mean concurrently resident requests in a 60 s window
FluidServe,1,4.0000,100.0000,0.0400,230.1610,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,230.1610,mean concurrently resident requests in a 60 s window
FluidServe,1,5.0000,100.0000,0.0400,257.7571,99.9149,0.0000,0.0000,0.2195,0.0851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,257.9767,mean concurrently resident requests in a 60 s window
FluidServe,1,6.0000,100.0000,0.0400,208.1666,96.9130,0.0000,0.0000,6.6308,3.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,214.7974,mean concurrently resident requests in a 60 s window
FluidServe,1,7.0000,100.0000,0.0400,206.5374,96.0436,0.0000,0.0000,8.5081,3.9564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,215.0455,mean concurrently resident requests in a 60 s window
FluidServe,1,8.0000,100.0000,0.0400,221.8476,96.3273,0.1726,0.0750,8.2858,3.5977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,230.3060,mean concurrently resident requests in a 60 s window
FluidServe,1,9.0000,100.0000,0.0400,248.8549,98.8115,0.1366,0.0542,2.8566,1.1343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,251.8481,mean concurrently resident requests in a 60 s window
FluidServe,1,10.0000,100.0000,0.0400,260.0969,99.4971,0.0000,0.0000,1.3147,0.5029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.4116,mean concurrently resident requests in a 60 s window
FluidServe,1,11.0000,100.0000,0.0400,261.0622,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0622,mean concurrently resident requests in a 60 s window
FluidServe,1,12.0000,100.0000,0.0400,260.7429,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.7429,mean concurrently resident requests in a 60 s window
FluidServe,1,13.0000,100.0000,0.0400,218.3223,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.3223,mean concurrently resident requests in a 60 s window
FluidServe,1,14.0000,100.0000,0.0400,216.1046,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,216.1046,mean concurrently resident requests in a 60 s window
FluidServe,1,15.0000,100.0000,0.0400,127.9973,76.7020,0.0000,0.0000,14.5583,8.7240,0.0000,0.0000,24.3205,14.5740,0.0000,0.0000,166.8761,mean concurrently resident requests in a 60 s window
FluidServe,1,16.0000,100.0000,0.0400,89.7335,56.3495,0.0000,0.0000,43.3528,27.2240,0.0000,0.0000,26.1582,16.4265,0.0000,0.0000,159.2445,mean concurrently resident requests in a 60 s window
