arm,minute,throughput_tok_s,goodput_tok_s,on_time_share_pct,attributed_pct,rule
FluidServe,0.750,4187.907,1609.656,38.436,100.000,ladder95
FluidServe,1.250,5519.675,3373.967,61.126,100.000,ladder95
FluidServe,1.750,5048.078,5001.811,99.083,100.000,ladder95
FluidServe,2.250,4852.801,5078.033,104.641,100.000,ladder95
FluidServe,2.750,4930.696,4758.456,96.507,100.000,ladder95
FluidServe,3.250,4029.011,4892.422,121.430,100.000,ladder95
FluidServe,3.750,4546.698,5438.622,119.617,100.000,ladder95
FluidServe,4.250,5523.775,5738.100,103.880,100.000,ladder95
FluidServe,4.750,5913.170,6491.500,109.780,100.000,ladder95
FluidServe,5.250,6414.703,8756.733,136.510,100.000,ladder95
FluidServe,5.750,11673.731,12920.611,110.681,100.000,ladder95
FluidServe,6.250,16183.767,16425.922,101.496,100.000,ladder95
FluidServe,6.750,18300.705,17404.822,95.105,100.000,ladder95
FluidServe,7.250,16576.537,16708.478,100.796,100.000,ladder95
FluidServe,7.750,18303.016,16291.178,89.008,100.000,ladder95
FluidServe,8.250,15865.389,16474.367,103.838,100.000,ladder95
FluidServe,8.750,17314.091,16874.667,97.462,100.000,ladder95
FluidServe,9.250,16460.174,16821.056,102.192,100.000,ladder95
FluidServe,9.750,15442.522,16620.856,107.630,100.000,ladder95
FluidServe,10.250,18374.806,15966.544,86.894,100.000,ladder95
FluidServe,10.750,15018.254,13544.178,90.185,100.000,ladder95
FluidServe,11.250,13544.671,10988.911,81.131,100.000,ladder95
FluidServe,11.750,9713.959,9189.978,94.606,100.000,ladder95
FluidServe,12.250,7406.102,9557.833,129.053,100.000,ladder95
FluidServe,12.750,10897.369,10513.111,96.474,100.000,ladder95
FluidServe,13.250,12117.610,11461.333,94.584,100.000,ladder95
FluidServe,13.750,11161.545,10713.444,95.985,100.000,ladder95
FluidServe,14.250,11066.110,8719.444,78.794,100.000,ladder95
FluidServe,14.750,7067.974,6810.456,96.357,100.000,ladder95
FluidServe,15.250,5175.168,6121.433,118.285,100.000,ladder95
FluidServe,15.750,7290.442,7903.256,108.406,100.000,ladder95
FluidServe,16.250,7651.171,9078.611,118.656,100.000,ladder95
FluidServe,16.750,11217.394,10684.700,95.251,100.000,ladder95
FluidServe,17.250,12833.581,10588.744,82.508,100.000,ladder95
FluidServe,17.750,8807.840,10224.844,116.088,100.000,ladder95
FluidServe,18.250,12404.774,9976.900,80.428,100.000,ladder95
FluidServe,18.750,12260.474,10213.211,83.302,100.000,ladder95
FluidServe,19.250,9483.953,10626.556,112.048,100.000,ladder95
FluidServe,19.750,10838.690,11032.644,101.789,100.000,ladder95
FluidServe,20.250,13390.121,11153.344,83.295,100.000,ladder95
FluidServe,20.750,9168.358,11288.878,123.129,100.000,ladder95
FluidServe,21.250,10827.349,11421.089,105.484,100.000,ladder95
FluidServe,21.750,11079.377,11538.500,104.144,100.000,ladder95
FluidServe,22.250,11845.017,11756.756,99.255,100.000,ladder95
FluidServe,22.750,13055.840,11811.067,90.466,100.000,ladder95
FluidServe,23.250,9814.413,11729.544,119.513,100.000,ladder95
FluidServe,23.750,10423.908,11488.411,110.212,100.000,ladder95
FluidServe,24.250,14106.450,11446.700,81.145,100.000,ladder95
FluidServe,24.750,13300.981,11432.667,85.954,100.000,ladder95
FluidServe,25.250,11947.901,11142.722,93.261,100.000,ladder95
FluidServe,25.750,13727.962,10382.878,75.633,100.000,ladder95
FluidServe,26.250,11653.105,9636.178,82.692,100.000,ladder95
FluidServe,26.750,12918.300,9861.900,76.341,100.000,ladder95
FluidServe,27.250,8003.804,10434.833,130.373,100.000,ladder95
FluidServe,27.750,11485.086,10938.256,95.239,100.000,ladder95
FluidServe,28.250,12202.256,11516.689,94.382,100.000,ladder95
FluidServe,28.750,10141.115,11098.611,109.442,100.000,ladder95
FluidServe,29.250,12853.593,10751.867,83.649,100.000,ladder95
FluidServe,29.750,9522.349,9442.122,99.157,100.000,ladder95
FluidServe,30.250,10502.983,9226.667,87.848,100.000,ladder95
FluidServe,30.750,9127.955,9311.322,102.009,100.000,ladder95
FluidServe,31.250,10474.389,10707.222,102.223,100.000,ladder95
FluidServe,31.750,11616.227,11907.033,102.503,100.000,ladder95
FluidServe,32.250,12993.998,12066.944,92.866,100.000,ladder95
FluidServe,32.750,12877.709,11541.122,89.621,100.000,ladder95
FluidServe,33.250,10919.938,10370.778,94.971,100.000,ladder95
FluidServe,33.750,10185.343,10589.178,103.965,100.000,ladder95
FluidServe,34.250,8184.540,11433.156,139.692,100.000,ladder95
FluidServe,34.750,10611.141,12917.811,121.738,100.000,ladder95
FluidServe,35.250,13554.838,13575.111,100.150,100.000,ladder95
FluidServe,35.750,12249.356,13748.056,112.235,100.000,ladder95
FluidServe,36.250,13194.646,13630.278,103.302,100.000,ladder95
FluidServe,36.750,11176.689,13703.711,122.610,100.000,ladder95
FluidServe,37.250,15701.372,14632.367,93.192,100.000,ladder95
FluidServe,37.750,14710.841,14527.678,98.755,100.000,ladder95
FluidServe,38.250,16735.679,14684.722,87.745,100.000,ladder95
FluidServe,38.750,14468.265,13532.344,93.531,100.000,ladder95
FluidServe,39.250,13666.332,14031.844,102.675,100.000,ladder95
FluidServe,39.750,15514.224,14089.711,90.818,100.000,ladder95
FluidServe,40.250,15504.797,13962.411,90.052,100.000,ladder95
FluidServe,40.750,14101.829,12602.256,89.366,100.000,ladder95
FluidServe,41.250,12527.514,10298.811,82.210,100.000,ladder95
FluidServe,41.750,11902.505,9726.933,81.722,100.000,ladder95
FluidServe,42.250,10505.288,10697.244,101.827,100.000,ladder95
FluidServe,42.750,10052.315,12771.144,127.047,100.000,ladder95
FluidServe,43.250,9046.342,13731.311,151.789,100.000,ladder95
FluidServe,43.750,10552.383,12462.067,118.097,100.000,ladder95
FluidServe,44.250,14908.564,10344.456,69.386,100.000,ladder95
FluidServe,44.750,7801.193,8555.900,109.674,100.000,ladder95
FluidServe,45.250,7331.298,7808.589,106.510,100.000,ladder95
FluidServe,45.750,6326.072,9437.867,149.190,100.000,ladder95
FluidServe,46.250,7739.229,10628.256,137.330,100.000,ladder95
FluidServe,46.750,10433.334,12162.367,116.572,100.000,ladder95
FluidServe,47.250,12723.301,12254.000,96.311,100.000,ladder95
FluidServe,47.750,16375.903,12487.489,76.255,100.000,ladder95
FluidServe,48.250,12918.612,12268.011,94.964,100.000,ladder95
FluidServe,48.750,16503.387,11893.156,72.065,100.000,ladder95
FluidServe,49.250,9790.523,12679.889,129.512,100.000,ladder95
FluidServe,49.750,13942.781,13390.633,96.040,100.000,ladder95
