arm,rate_req_s,engine_rank,n_repeats,attributed_pct,resident_chat,resident_deepresearch,resident_swe,resident_total,resident_total_min,resident_total_max,unit,order
FluidServe,20.0,1,2,100.0,212.3238152170623,0.0,0.06735820041762455,212.39117341747993,211.69571780363722,213.08662903132264,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,20.0,2,2,100.0,12.736081311437818,8.859499851421072,8.723810661942869,30.319391824801762,21.84988410031354,38.78889954928998,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,20.0,3,2,100.0,0.0,109.41717237035434,1.8699466248353322,111.28711899518967,110.7058190372255,111.86841895315382,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,20.0,4,2,100.0,0.0,23.443722932868532,12.090406312986657,35.53412924585519,19.872859380421815,51.195399111288566,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,20.0,1,2,100.0,65.52255884872542,24.348837837908004,6.734617494653772,96.60601418128721,96.14315375884372,97.06887460373065,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,20.0,2,2,100.0,59.48503599718765,25.920417796682425,6.515024292248266,91.92047808611835,90.7405952303498,93.10036094188689,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,20.0,3,2,100.0,56.106252537171045,25.41766738118949,6.854330576790704,88.37825049515124,86.94214160442353,89.81435938587894,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,20.0,4,2,100.0,47.72681052927617,25.94302901758088,5.5657213250796,79.23556087193664,75.75835110876295,82.71277063511035,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,20.0,1,2,100.0,271.9257074274399,8.06749205964583,5.35809418823984,285.3512936753255,285.1652415518407,285.5373457988103,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,20.0,2,2,100.0,31.252495228361198,26.196835718110755,16.574727507873817,74.02405845434578,72.9040450140282,75.14407189466334,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,20.0,3,2,100.0,4.093617730891262,63.917794898925,1.1946781588925255,69.20609078870879,68.41036696566475,70.00181461175282,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,20.0,4,2,100.0,0.0,18.201188940472072,3.8443043364418874,22.04549327691396,19.27896734873454,24.81201920509338,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,20.0,1,2,99.92,68.16800471765023,27.772222609873175,8.078915695570133,104.01914302309355,100.62805501973189,107.41023102645522,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,20.0,2,2,99.92,60.317242045093465,28.526620473905844,7.8575069144920064,96.70136943349132,96.39541291086762,97.00732595611501,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,20.0,3,2,99.92,53.70144193238682,30.799732161009754,6.763147199595417,91.264321292992,90.64760888152651,91.88103370445747,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,20.0,4,2,99.92,37.43759987288051,15.61855151300077,3.6673830745396794,56.72353446042096,51.828772983286115,61.618295937555814,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,20.0,1,2,100.0,72.3890871765437,27.399995960571147,0.05556416842672555,99.84464730554157,95.71847761295459,103.97081699812856,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,20.0,2,2,100.0,59.93127431737052,26.444301865939742,0.9362558574588211,87.31183204076909,86.41499628932388,88.20866779221429,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,20.0,3,2,100.0,47.50416373787103,23.668592944630873,5.121527460769371,76.29428414327127,72.08544142776066,80.5031268587819,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,20.0,4,2,100.0,28.528851347499423,16.734388512814487,17.071420236870097,62.334660097184006,60.82652053126583,63.842799663102184,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,35.0,1,2,100.0,195.49199717751256,12.106196985200599,2.176036214607733,209.7742303773209,204.35847090526863,215.18998984937315,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,35.0,2,2,100.0,139.54533843243564,21.30495923029052,7.901586320665148,168.75188398339134,167.6825608059212,169.8212071608614,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,35.0,3,2,100.0,0.0,120.68093399846995,19.887433710583934,140.5683677090539,139.51710225741067,141.6196331606971,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,35.0,4,2,100.0,0.0,101.61785894720641,25.72752334607972,127.34538229328614,125.65939592741152,129.03136865916076,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,35.0,1,2,100.0,185.33141790738813,64.37476332055198,29.63639313446151,279.3425743624016,272.7913520799743,285.89379664482897,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,35.0,2,2,100.0,148.99989147186278,67.25996295037092,29.65407929884063,245.91393372107433,236.6012933422018,255.2265740999469,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,35.0,3,2,100.0,47.02218465319386,96.85434090208123,23.92736541275625,167.80389096803134,166.72738190580299,168.88040003025972,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,35.0,4,2,100.0,28.69665244906037,125.89799348248374,9.006907209643613,163.6015531411877,163.34580376413132,163.85730251824413,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,35.0,1,2,100.0,333.66501935389306,5.0991271279476305,0.7257260492554418,339.4898725310961,336.3288101421462,342.6509349200461,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,35.0,2,2,100.0,271.5050668380878,5.537431759083713,5.877448761904681,282.9199473590762,282.740197524318,283.0996971938346,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,35.0,3,2,100.0,3.7560538755522823,91.37134622688646,1.0474201880119465,96.17482029045068,91.10163587773287,101.24800470316852,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,35.0,4,2,100.0,0.0,20.553252291237865,49.175609308260455,69.72886159949832,69.12952153903467,70.32820165996198,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,35.0,1,2,99.9,51.582128522131185,34.00349943924834,8.462479127998705,94.04810708937822,91.69968396955068,96.39653020920578,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,35.0,2,2,99.9,44.31371043832213,31.798629834475342,9.464999523648508,85.57733979644598,77.8708475753113,93.28383201758066,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,35.0,3,2,99.9,39.44774700557744,33.96954806071741,9.717457455838169,83.13475252213303,78.65292429261739,87.61658075164867,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,35.0,4,2,99.9,35.687043361531366,34.21002294906863,9.230923786207482,79.12799009680748,75.34804963359127,82.90793056002369,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,35.0,1,2,99.99,486.16118932013154,132.18998576866255,0.0,618.3511750887941,617.701944692488,619.0004054851001,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,35.0,2,2,99.99,455.3136118897686,136.54448531402483,0.0,591.8580972037935,590.0049673667661,593.7112270408207,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,35.0,3,2,99.99,403.39042304555574,129.9613558385107,0.0,533.3517788840664,525.5043965489776,541.1991612191553,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,35.0,4,2,99.99,187.1464113061075,75.72825787442702,154.96735248543598,417.8420216659705,417.5663532477838,418.1176900841571,mean concurrently resident requests,engines ranked per 60 s window by chat residency
