fleet,fleet_short,budget_ms_per_token,crossover_footprint_tokens,crossover_footprint_tokens_min,crossover_footprint_tokens_max,resident_footprint_tokens,resident_footprint_tokens_min,resident_footprint_tokens_max,resident_footprint_p25,resident_footprint_p75,pace_binding_predicted_pct,pace_binding_predicted_pct_min,pace_binding_predicted_pct_max,pace_binding_counted_pct,pace_binding_counted_pct_min,pace_binding_counted_pct_max,kv_pool_tokens,kv_pool_source,sharing_ratio_s,sharing_ratio_s_min,sharing_ratio_s_max,rho_prefill_per_output_token,rho_min,rho_max,c0_ms,c_kv_ms_per_token,c_n_ms_per_request,prefill_rate_tok_per_ms,n_repeats,n_instance_scrapes,n_sole_infeasible_evals,load_window_s,band_definition,scoring_rule
"4 x Llama-3.1-70B, TP=2",70B x4,30,61719.6,13326.4,228243,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,30.5,52321.9,12322.8,158628,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,31,45407.8,11459.7,121554,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,31.5,40107.8,10709.6,98526.5,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,32,35915.7,10051.7,82834.2,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,32.5,32517,9469.97,71453.8,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,33,29705.9,8951.87,62822.7,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,33.5,27342.2,8487.52,56052,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,34,25327,8068.97,50598.8,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
"4 x Llama-3.1-70B, TP=2",70B x4,34.5,23588.4,7689.76,46112.5,4346.86,4284.23,4409.48,1509.92,5160.82,99.7685,99.6358,99.9012,98.669,98.5357,98.8023,584928,measured,0.690893,0.690305,0.691482,1.99418,1.97986,2.00851,16.3612,1.28216e-05,0.0764286,15.7633,2,26335,362752,3581.18,"rho in [1.0, 3.0] x s in [0.6, 1.0], joint",no request scoring: T* is a fleet property; class budgets chat 50 / swe 75 / deepresearch 100 ms per token
