panel,arm,run,engine,role,n_windows,itl_ms,cdf
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,12.00000,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,12.48368,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,12.98685,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,13.51031,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,14.05486,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,14.62136,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,15.21070,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,15.82379,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,16.46159,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,17.12510,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,17.81535,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,18.53343,0.00246
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,19.28044,0.02078
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,20.05757,0.04758
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,20.86602,0.06836
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,21.70706,0.09024
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,22.58199,0.10856
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,23.49219,0.12360
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,24.43908,0.13590
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,25.42414,0.15231
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,26.44889,0.16598
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,27.51496,0.18020
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,28.62399,0.19606
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,29.77772,0.20809
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,30.97796,0.22122
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,32.22657,0.23106
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,33.52551,0.23872
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,34.87681,0.25130
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,36.28257,0.26442
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,37.74499,0.29560
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,39.26636,0.32458
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,40.84905,0.34290
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,42.49553,0.35685
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,44.20838,0.37462
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,45.99026,0.39021
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,47.84397,0.40990
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,49.77239,0.42658
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,51.77854,0.44353
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,53.86556,0.46568
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,56.03669,0.48783
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,58.29533,0.51053
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,60.64501,0.53186
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,63.08940,0.55893
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,65.63231,0.58463
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,68.27772,0.60651
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,71.02976,0.62620
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,73.89272,0.65135
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,76.87108,0.67514
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,79.96948,0.70194
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,83.19277,0.72655
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,86.54598,0.74979
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,90.03435,0.77085
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,93.66332,0.79136
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,97.43856,0.80667
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,101.36596,0.82472
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,105.45167,0.83785
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,109.70206,0.85371
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,114.12377,0.86820
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,118.72370,0.87640
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,123.50903,0.88925
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,128.48725,0.89746
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,133.66612,0.90402
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,139.05374,0.91359
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,144.65851,0.92371
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,150.48918,0.92972
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,156.55488,0.93355
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,162.86506,0.93793
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,169.42958,0.94695
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,176.25869,0.95023
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,183.36306,0.95461
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,190.75379,0.95816
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,198.44240,0.96254
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,206.44092,0.96719
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,214.76184,0.96992
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,223.41813,0.97183
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,232.42334,0.97375
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,241.79151,0.97594
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,251.53728,0.97812
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,261.67587,0.97976
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,272.22311,0.98195
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,283.19547,0.98277
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,294.61009,0.98605
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,306.48479,0.98605
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,318.83812,0.98852
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,331.68937,0.98906
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,345.05861,0.98988
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,358.96671,0.99098
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,373.43541,0.99234
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,388.48728,0.99289
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,404.14585,0.99316
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,420.43555,0.99371
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,437.38184,0.99453
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,455.01117,0.99480
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,473.35108,0.99508
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,492.43021,0.99535
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,512.27834,0.99535
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,532.92649,0.99727
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,554.40690,0.99945
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,576.75310,1.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8000,envelope,3657,600.00000,1.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,12.00000,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,12.48368,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,12.98685,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,13.51031,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,14.05486,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,14.62136,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,15.21070,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,15.82379,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,16.46159,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,17.12510,0.01545
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,17.81535,0.02716
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,18.53343,0.02823
