series,minute,value,smoothing_s,bytes_per_token
decode_kv_gb_s,0.00680,0.24700,20,327680
decode_kv_gb_s,0.02346,0.29296,20,327680
decode_kv_gb_s,0.04013,0.34390,20,327680
decode_kv_gb_s,0.05680,0.39966,20,327680
decode_kv_gb_s,0.07346,0.45512,20,327680
decode_kv_gb_s,0.09013,0.51119,20,327680
decode_kv_gb_s,0.10680,0.56462,20,327680
decode_kv_gb_s,0.12346,0.59968,20,327680
decode_kv_gb_s,0.14013,0.65465,20,327680
decode_kv_gb_s,0.15680,0.70817,20,327680
decode_kv_gb_s,0.17346,0.76263,20,327680
decode_kv_gb_s,0.19013,0.81517,20,327680
decode_kv_gb_s,0.20680,0.86209,20,327680
decode_kv_gb_s,0.22346,0.90222,20,327680
decode_kv_gb_s,0.24013,0.94236,20,327680
decode_kv_gb_s,0.25680,0.98447,20,327680
decode_kv_gb_s,0.27346,1.02234,20,327680
decode_kv_gb_s,0.29013,1.05796,20,327680
decode_kv_gb_s,0.30680,1.06962,20,327680
decode_kv_gb_s,0.32346,1.08941,20,327680
decode_kv_gb_s,0.34013,1.10978,20,327680
decode_kv_gb_s,0.35680,1.11411,20,327680
decode_kv_gb_s,0.37346,1.12824,20,327680
decode_kv_gb_s,0.39013,1.13921,20,327680
decode_kv_gb_s,0.40680,1.14810,20,327680
decode_kv_gb_s,0.42346,1.15690,20,327680
decode_kv_gb_s,0.44013,1.16565,20,327680
decode_kv_gb_s,0.45680,1.19865,20,327680
decode_kv_gb_s,0.47346,1.21280,20,327680
decode_kv_gb_s,0.49013,1.22587,20,327680
decode_kv_gb_s,0.50680,1.23413,20,327680
decode_kv_gb_s,0.52346,1.24908,20,327680
decode_kv_gb_s,0.54013,1.25795,20,327680
decode_kv_gb_s,0.55680,1.26911,20,327680
decode_kv_gb_s,0.57346,1.26476,20,327680
decode_kv_gb_s,0.59013,1.26518,20,327680
decode_kv_gb_s,0.60680,1.26107,20,327680
decode_kv_gb_s,0.62346,1.25614,20,327680
decode_kv_gb_s,0.64013,1.26887,20,327680
decode_kv_gb_s,0.65680,1.27817,20,327680
decode_kv_gb_s,0.67346,1.27486,20,327680
decode_kv_gb_s,0.69013,1.28298,20,327680
decode_kv_gb_s,0.70680,1.29514,20,327680
decode_kv_gb_s,0.72346,1.29833,20,327680
decode_kv_gb_s,0.74013,1.31239,20,327680
decode_kv_gb_s,0.75680,1.32249,20,327680
decode_kv_gb_s,0.77346,1.32411,20,327680
decode_kv_gb_s,0.79013,1.32357,20,327680
decode_kv_gb_s,0.80680,1.32503,20,327680
decode_kv_gb_s,0.82346,1.33553,20,327680
decode_kv_gb_s,0.84013,1.34630,20,327680
decode_kv_gb_s,0.85680,1.34803,20,327680
decode_kv_gb_s,0.87346,1.35655,20,327680
decode_kv_gb_s,0.89013,1.36770,20,327680
decode_kv_gb_s,0.90680,1.37764,20,327680
decode_kv_gb_s,0.92346,1.38351,20,327680
decode_kv_gb_s,0.94013,1.38291,20,327680
decode_kv_gb_s,0.95680,1.38491,20,327680
decode_kv_gb_s,0.97346,1.39186,20,327680
decode_kv_gb_s,0.99013,1.40805,20,327680
decode_kv_gb_s,1.00680,1.43277,20,327680
decode_kv_gb_s,1.02346,1.45285,20,327680
decode_kv_gb_s,1.04013,1.46363,20,327680
decode_kv_gb_s,1.05680,1.47849,20,327680
decode_kv_gb_s,1.07346,1.49137,20,327680
decode_kv_gb_s,1.09013,1.49162,20,327680
decode_kv_gb_s,1.10680,1.51555,20,327680
decode_kv_gb_s,1.12346,1.53951,20,327680
decode_kv_gb_s,1.14013,1.55390,20,327680
decode_kv_gb_s,1.15680,1.55666,20,327680
decode_kv_gb_s,1.17346,1.56673,20,327680
decode_kv_gb_s,1.19013,1.56031,20,327680
decode_kv_gb_s,1.20680,1.56369,20,327680
decode_kv_gb_s,1.22346,1.55191,20,327680
decode_kv_gb_s,1.24013,1.56246,20,327680
decode_kv_gb_s,1.25680,1.57054,20,327680
decode_kv_gb_s,1.27346,1.58475,20,327680
decode_kv_gb_s,1.29013,1.59913,20,327680
decode_kv_gb_s,1.30680,1.60465,20,327680
decode_kv_gb_s,1.32346,1.59036,20,327680
decode_kv_gb_s,1.34013,1.58039,20,327680
decode_kv_gb_s,1.35680,1.56371,20,327680
decode_kv_gb_s,1.37346,1.55621,20,327680
decode_kv_gb_s,1.39013,1.53552,20,327680
decode_kv_gb_s,1.40680,1.52812,20,327680
decode_kv_gb_s,1.42346,1.53222,20,327680
decode_kv_gb_s,1.44013,1.52638,20,327680
decode_kv_gb_s,1.45680,1.51220,20,327680
decode_kv_gb_s,1.47346,1.50160,20,327680
decode_kv_gb_s,1.49013,1.49960,20,327680
decode_kv_gb_s,1.50680,1.47432,20,327680
decode_kv_gb_s,1.52346,1.48728,20,327680
decode_kv_gb_s,1.54013,1.49701,20,327680
decode_kv_gb_s,1.55680,1.49320,20,327680
decode_kv_gb_s,1.57346,1.48855,20,327680
decode_kv_gb_s,1.59013,1.48811,20,327680
decode_kv_gb_s,1.60680,1.49377,20,327680
decode_kv_gb_s,1.62346,1.50092,20,327680
decode_kv_gb_s,1.64013,1.51299,20,327680
decode_kv_gb_s,1.65680,1.52144,20,327680
decode_kv_gb_s,1.67346,1.53716,20,327680
decode_kv_gb_s,1.69013,1.54620,20,327680
decode_kv_gb_s,1.70680,1.55457,20,327680
decode_kv_gb_s,1.72346,1.56629,20,327680
decode_kv_gb_s,1.74013,1.58472,20,327680
decode_kv_gb_s,1.75680,1.60820,20,327680
decode_kv_gb_s,1.77346,1.61860,20,327680
decode_kv_gb_s,1.79013,1.64511,20,327680
decode_kv_gb_s,1.80680,1.66174,20,327680
decode_kv_gb_s,1.82346,1.67888,20,327680
decode_kv_gb_s,1.84013,1.70066,20,327680
decode_kv_gb_s,1.85680,1.71354,20,327680
decode_kv_gb_s,1.87346,1.72558,20,327680
decode_kv_gb_s,1.89013,1.75004,20,327680
decode_kv_gb_s,1.90680,1.76964,20,327680
decode_kv_gb_s,1.92346,1.77657,20,327680
decode_kv_gb_s,1.94013,1.77586,20,327680
decode_kv_gb_s,1.95680,1.76635,20,327680
decode_kv_gb_s,1.97346,1.75957,20,327680
decode_kv_gb_s,1.99013,1.74573,20,327680
decode_kv_gb_s,2.00680,1.72864,20,327680
decode_kv_gb_s,2.02346,1.73049,20,327680
decode_kv_gb_s,2.04013,1.70305,20,327680
decode_kv_gb_s,2.05680,1.69116,20,327680
decode_kv_gb_s,2.07346,1.66194,20,327680
decode_kv_gb_s,2.09013,1.62919,20,327680
decode_kv_gb_s,2.10680,1.60701,20,327680
decode_kv_gb_s,2.12346,1.57099,20,327680
decode_kv_gb_s,2.14013,1.55325,20,327680
decode_kv_gb_s,2.15680,1.53642,20,327680
decode_kv_gb_s,2.17346,1.52987,20,327680
decode_kv_gb_s,2.19013,1.51737,20,327680
decode_kv_gb_s,2.20680,1.49520,20,327680
decode_kv_gb_s,2.22346,1.48111,20,327680
decode_kv_gb_s,2.24013,1.47464,20,327680
decode_kv_gb_s,2.25680,1.46770,20,327680
decode_kv_gb_s,2.27346,1.45771,20,327680
decode_kv_gb_s,2.29013,1.44585,20,327680
