series,minute,value,smoothing_s,bytes_per_token
decode_kv_gb_s,0.00025,0.22841,20,327680
decode_kv_gb_s,0.01692,0.27634,20,327680
decode_kv_gb_s,0.03359,0.32620,20,327680
decode_kv_gb_s,0.05025,0.38443,20,327680
decode_kv_gb_s,0.06692,0.44440,20,327680
decode_kv_gb_s,0.08359,0.50614,20,327680
decode_kv_gb_s,0.10025,0.56357,20,327680
decode_kv_gb_s,0.11692,0.61599,20,327680
decode_kv_gb_s,0.13359,0.66678,20,327680
decode_kv_gb_s,0.15025,0.71780,20,327680
decode_kv_gb_s,0.16692,0.77217,20,327680
decode_kv_gb_s,0.18359,0.82607,20,327680
decode_kv_gb_s,0.20025,0.86899,20,327680
decode_kv_gb_s,0.21692,0.91798,20,327680
decode_kv_gb_s,0.23359,0.96427,20,327680
decode_kv_gb_s,0.25025,1.00550,20,327680
decode_kv_gb_s,0.26692,1.04094,20,327680
decode_kv_gb_s,0.28359,1.07183,20,327680
decode_kv_gb_s,0.30025,1.09909,20,327680
decode_kv_gb_s,0.31692,1.12012,20,327680
decode_kv_gb_s,0.33359,1.14170,20,327680
decode_kv_gb_s,0.35025,1.15000,20,327680
decode_kv_gb_s,0.36692,1.16317,20,327680
decode_kv_gb_s,0.38359,1.17238,20,327680
decode_kv_gb_s,0.40025,1.17514,20,327680
decode_kv_gb_s,0.41692,1.17836,20,327680
decode_kv_gb_s,0.43359,1.18095,20,327680
decode_kv_gb_s,0.45025,1.19478,20,327680
decode_kv_gb_s,0.46692,1.20759,20,327680
decode_kv_gb_s,0.48359,1.21981,20,327680
decode_kv_gb_s,0.50025,1.22647,20,327680
decode_kv_gb_s,0.51692,1.23307,20,327680
decode_kv_gb_s,0.53359,1.24853,20,327680
decode_kv_gb_s,0.55025,1.25419,20,327680
decode_kv_gb_s,0.56692,1.25750,20,327680
decode_kv_gb_s,0.58359,1.25793,20,327680
decode_kv_gb_s,0.60025,1.25586,20,327680
decode_kv_gb_s,0.61692,1.25531,20,327680
decode_kv_gb_s,0.63359,1.25196,20,327680
decode_kv_gb_s,0.65025,1.25319,20,327680
decode_kv_gb_s,0.66692,1.25072,20,327680
decode_kv_gb_s,0.68359,1.25510,20,327680
decode_kv_gb_s,0.70025,1.25994,20,327680
decode_kv_gb_s,0.71692,1.26639,20,327680
decode_kv_gb_s,0.73359,1.27386,20,327680
decode_kv_gb_s,0.75025,1.28199,20,327680
decode_kv_gb_s,0.76692,1.29383,20,327680
decode_kv_gb_s,0.78359,1.29629,20,327680
decode_kv_gb_s,0.80025,1.30302,20,327680
decode_kv_gb_s,0.81692,1.30831,20,327680
decode_kv_gb_s,0.83359,1.31851,20,327680
decode_kv_gb_s,0.85025,1.32573,20,327680
decode_kv_gb_s,0.86692,1.33349,20,327680
decode_kv_gb_s,0.88359,1.34074,20,327680
decode_kv_gb_s,0.90025,1.34201,20,327680
decode_kv_gb_s,0.91692,1.35265,20,327680
decode_kv_gb_s,0.93359,1.36910,20,327680
decode_kv_gb_s,0.95025,1.37955,20,327680
decode_kv_gb_s,0.96692,1.38342,20,327680
decode_kv_gb_s,0.98359,1.40426,20,327680
decode_kv_gb_s,1.00025,1.42260,20,327680
decode_kv_gb_s,1.01692,1.44574,20,327680
decode_kv_gb_s,1.03359,1.45289,20,327680
decode_kv_gb_s,1.05025,1.46478,20,327680
decode_kv_gb_s,1.06692,1.48109,20,327680
decode_kv_gb_s,1.08359,1.49759,20,327680
decode_kv_gb_s,1.10025,1.50928,20,327680
decode_kv_gb_s,1.11692,1.52437,20,327680
decode_kv_gb_s,1.13359,1.54254,20,327680
decode_kv_gb_s,1.15025,1.55483,20,327680
decode_kv_gb_s,1.16692,1.56690,20,327680
decode_kv_gb_s,1.18359,1.58053,20,327680
decode_kv_gb_s,1.20025,1.58742,20,327680
decode_kv_gb_s,1.21692,1.59170,20,327680
decode_kv_gb_s,1.23359,1.60031,20,327680
decode_kv_gb_s,1.25025,1.60329,20,327680
decode_kv_gb_s,1.26692,1.60635,20,327680
decode_kv_gb_s,1.28359,1.61299,20,327680
decode_kv_gb_s,1.30025,1.62489,20,327680
decode_kv_gb_s,1.31692,1.61816,20,327680
decode_kv_gb_s,1.33359,1.61074,20,327680
decode_kv_gb_s,1.35025,1.59382,20,327680
decode_kv_gb_s,1.36692,1.60001,20,327680
decode_kv_gb_s,1.38359,1.59244,20,327680
decode_kv_gb_s,1.40025,1.58509,20,327680
decode_kv_gb_s,1.41692,1.57308,20,327680
decode_kv_gb_s,1.43359,1.56970,20,327680
decode_kv_gb_s,1.45025,1.56310,20,327680
decode_kv_gb_s,1.46692,1.54856,20,327680
decode_kv_gb_s,1.48359,1.53514,20,327680
decode_kv_gb_s,1.50025,1.52841,20,327680
decode_kv_gb_s,1.51692,1.52158,20,327680
decode_kv_gb_s,1.53359,1.53224,20,327680
decode_kv_gb_s,1.55025,1.54320,20,327680
decode_kv_gb_s,1.56692,1.55133,20,327680
decode_kv_gb_s,1.58359,1.56834,20,327680
decode_kv_gb_s,1.60025,1.57674,20,327680
decode_kv_gb_s,1.61692,1.58717,20,327680
decode_kv_gb_s,1.63359,1.60674,20,327680
decode_kv_gb_s,1.65025,1.62256,20,327680
decode_kv_gb_s,1.66692,1.64483,20,327680
decode_kv_gb_s,1.68359,1.67303,20,327680
decode_kv_gb_s,1.70025,1.69424,20,327680
decode_kv_gb_s,1.71692,1.71227,20,327680
decode_kv_gb_s,1.73359,1.73746,20,327680
decode_kv_gb_s,1.75025,1.75518,20,327680
decode_kv_gb_s,1.76692,1.77058,20,327680
decode_kv_gb_s,1.78359,1.78588,20,327680
decode_kv_gb_s,1.80025,1.79485,20,327680
decode_kv_gb_s,1.81692,1.81442,20,327680
decode_kv_gb_s,1.83359,1.83063,20,327680
decode_kv_gb_s,1.85025,1.84527,20,327680
decode_kv_gb_s,1.86692,1.84992,20,327680
decode_kv_gb_s,1.88359,1.85822,20,327680
decode_kv_gb_s,1.90025,1.86663,20,327680
decode_kv_gb_s,1.91692,1.85341,20,327680
decode_kv_gb_s,1.93359,1.84213,20,327680
decode_kv_gb_s,1.95025,1.82828,20,327680
decode_kv_gb_s,1.96692,1.80552,20,327680
decode_kv_gb_s,1.98359,1.78642,20,327680
decode_kv_gb_s,2.00025,1.75818,20,327680
decode_kv_gb_s,2.01692,1.72936,20,327680
decode_kv_gb_s,2.03359,1.68929,20,327680
decode_kv_gb_s,2.05025,1.66391,20,327680
decode_kv_gb_s,2.06692,1.62877,20,327680
decode_kv_gb_s,2.08359,1.60095,20,327680
decode_kv_gb_s,2.10025,1.57942,20,327680
decode_kv_gb_s,2.11692,1.55803,20,327680
decode_kv_gb_s,2.13359,1.55144,20,327680
decode_kv_gb_s,2.15025,1.54355,20,327680
decode_kv_gb_s,2.16692,1.53261,20,327680
decode_kv_gb_s,2.18359,1.52456,20,327680
decode_kv_gb_s,2.20025,1.51287,20,327680
decode_kv_gb_s,2.21692,1.50317,20,327680
decode_kv_gb_s,2.23359,1.49135,20,327680
decode_kv_gb_s,2.25025,1.49380,20,327680
decode_kv_gb_s,2.26692,1.49389,20,327680
decode_kv_gb_s,2.28359,1.49937,20,327680
decode_kv_gb_s,2.30025,1.50248,20,327680
decode_kv_gb_s,2.31692,1.50582,20,327680
decode_kv_gb_s,2.33359,1.50483,20,327680
decode_kv_gb_s,2.35025,1.50925,20,327680
decode_kv_gb_s,2.36692,1.51347,20,327680
decode_kv_gb_s,2.38359,1.50735,20,327680
decode_kv_gb_s,2.40025,1.50524,20,327680
decode_kv_gb_s,2.41692,1.50893,20,327680
decode_kv_gb_s,2.43359,1.50595,20,327680
decode_kv_gb_s,2.45025,1.50952,20,327680
decode_kv_gb_s,2.46692,1.51168,20,327680
decode_kv_gb_s,2.48359,1.50336,20,327680
decode_kv_gb_s,2.50025,1.49633,20,327680
decode_kv_gb_s,2.51692,1.49104,20,327680
decode_kv_gb_s,2.53359,1.49033,20,327680
decode_kv_gb_s,2.55025,1.48716,20,327680
decode_kv_gb_s,2.56692,1.48579,20,327680
decode_kv_gb_s,2.58359,1.48547,20,327680
decode_kv_gb_s,2.60025,1.49255,20,327680
decode_kv_gb_s,2.61692,1.49819,20,327680
decode_kv_gb_s,2.63359,1.50027,20,327680
decode_kv_gb_s,2.65025,1.51052,20,327680
decode_kv_gb_s,2.66692,1.53135,20,327680
decode_kv_gb_s,2.68359,1.54842,20,327680
decode_kv_gb_s,2.70025,1.56444,20,327680
decode_kv_gb_s,2.71692,1.58090,20,327680
decode_kv_gb_s,2.73359,1.59143,20,327680
decode_kv_gb_s,2.75025,1.59875,20,327680
decode_kv_gb_s,2.76692,1.61113,20,327680
decode_kv_gb_s,2.78359,1.62039,20,327680
decode_kv_gb_s,2.80025,1.62101,20,327680
decode_kv_gb_s,2.81692,1.62499,20,327680
decode_kv_gb_s,2.83359,1.62156,20,327680
decode_kv_gb_s,2.85025,1.62667,20,327680
decode_kv_gb_s,2.86692,1.62729,20,327680
decode_kv_gb_s,2.88359,1.62243,20,327680
decode_kv_gb_s,2.90025,1.61485,20,327680
decode_kv_gb_s,2.91692,1.61170,20,327680
decode_kv_gb_s,2.93359,1.59615,20,327680
decode_kv_gb_s,2.95025,1.58177,20,327680
decode_kv_gb_s,2.96692,1.57601,20,327680
decode_kv_gb_s,2.98359,1.55567,20,327680
decode_kv_gb_s,3.00025,1.52864,20,327680
decode_kv_gb_s,3.01692,1.50513,20,327680
decode_kv_gb_s,3.03359,1.48790,20,327680
decode_kv_gb_s,3.05025,1.47143,20,327680
decode_kv_gb_s,3.06692,1.45759,20,327680
decode_kv_gb_s,3.08359,1.44780,20,327680
decode_kv_gb_s,3.10025,1.43358,20,327680
decode_kv_gb_s,3.11692,1.42035,20,327680
decode_kv_gb_s,3.13359,1.40992,20,327680
decode_kv_gb_s,3.15025,1.39076,20,327680
decode_kv_gb_s,3.16692,1.38586,20,327680
decode_kv_gb_s,3.18359,1.37737,20,327680
decode_kv_gb_s,3.20025,1.36727,20,327680
decode_kv_gb_s,3.21692,1.35943,20,327680
decode_kv_gb_s,3.23359,1.35795,20,327680
decode_kv_gb_s,3.25025,1.34744,20,327680
decode_kv_gb_s,3.26692,1.34596,20,327680
decode_kv_gb_s,3.28359,1.33697,20,327680
decode_kv_gb_s,3.30025,1.31974,20,327680
decode_kv_gb_s,3.31692,1.31512,20,327680
decode_kv_gb_s,3.33359,1.31596,20,327680
decode_kv_gb_s,3.35025,1.31715,20,327680
decode_kv_gb_s,3.36692,1.31355,20,327680
decode_kv_gb_s,3.38359,1.31200,20,327680
decode_kv_gb_s,3.40025,1.31838,20,327680
decode_kv_gb_s,3.41692,1.31838,20,327680
decode_kv_gb_s,3.43359,1.32033,20,327680
decode_kv_gb_s,3.45025,1.31856,20,327680
decode_kv_gb_s,3.46692,1.32061,20,327680
decode_kv_gb_s,3.48359,1.33056,20,327680
decode_kv_gb_s,3.50025,1.33702,20,327680
decode_kv_gb_s,3.51692,1.33392,20,327680
decode_kv_gb_s,3.53359,1.34321,20,327680
decode_kv_gb_s,3.55025,1.35191,20,327680
decode_kv_gb_s,3.56692,1.35692,20,327680
decode_kv_gb_s,3.58359,1.36322,20,327680
decode_kv_gb_s,3.60025,1.37745,20,327680
decode_kv_gb_s,3.61692,1.39853,20,327680
decode_kv_gb_s,3.63359,1.43072,20,327680
decode_kv_gb_s,3.65025,1.45538,20,327680
decode_kv_gb_s,3.66692,1.47313,20,327680
decode_kv_gb_s,3.68359,1.49779,20,327680
decode_kv_gb_s,3.70025,1.52935,20,327680
decode_kv_gb_s,3.71692,1.55521,20,327680
decode_kv_gb_s,3.73359,1.56829,20,327680
decode_kv_gb_s,3.75025,1.58475,20,327680
decode_kv_gb_s,3.76692,1.59881,20,327680
decode_kv_gb_s,3.78359,1.61343,20,327680
decode_kv_gb_s,3.80025,1.62352,20,327680
decode_kv_gb_s,3.81692,1.64457,20,327680
decode_kv_gb_s,3.83359,1.64994,20,327680
decode_kv_gb_s,3.85025,1.66704,20,327680
decode_kv_gb_s,3.86692,1.67278,20,327680
decode_kv_gb_s,3.88359,1.67301,20,327680
decode_kv_gb_s,3.90025,1.66331,20,327680
decode_kv_gb_s,3.91692,1.65711,20,327680
decode_kv_gb_s,3.93359,1.64476,20,327680
decode_kv_gb_s,3.95025,1.62394,20,327680
decode_kv_gb_s,3.96692,1.60749,20,327680
decode_kv_gb_s,3.98359,1.59428,20,327680
decode_kv_gb_s,4.00025,1.58299,20,327680
decode_kv_gb_s,4.01692,1.55496,20,327680
decode_kv_gb_s,4.03359,1.53462,20,327680
decode_kv_gb_s,4.05025,1.51831,20,327680
decode_kv_gb_s,4.06692,1.50770,20,327680
decode_kv_gb_s,4.08359,1.49244,20,327680
decode_kv_gb_s,4.10025,1.47891,20,327680
decode_kv_gb_s,4.11692,1.46992,20,327680
decode_kv_gb_s,4.13359,1.46487,20,327680
decode_kv_gb_s,4.15025,1.45194,20,327680
decode_kv_gb_s,4.16692,1.44826,20,327680
decode_kv_gb_s,4.18359,1.43731,20,327680
decode_kv_gb_s,4.20025,1.42999,20,327680
decode_kv_gb_s,4.21692,1.43413,20,327680
decode_kv_gb_s,4.23359,1.44891,20,327680
decode_kv_gb_s,4.25025,1.46082,20,327680
decode_kv_gb_s,4.26692,1.47535,20,327680
decode_kv_gb_s,4.28359,1.49740,20,327680
decode_kv_gb_s,4.30025,1.51050,20,327680
decode_kv_gb_s,4.31692,1.52625,20,327680
decode_kv_gb_s,4.33359,1.54152,20,327680
decode_kv_gb_s,4.35025,1.56213,20,327680
decode_kv_gb_s,4.36692,1.57556,20,327680
decode_kv_gb_s,4.38359,1.58779,20,327680
decode_kv_gb_s,4.40025,1.60064,20,327680
decode_kv_gb_s,4.41692,1.61008,20,327680
decode_kv_gb_s,4.43359,1.61732,20,327680
decode_kv_gb_s,4.45025,1.62661,20,327680
decode_kv_gb_s,4.46692,1.63914,20,327680
decode_kv_gb_s,4.48359,1.64994,20,327680
decode_kv_gb_s,4.50025,1.66367,20,327680
decode_kv_gb_s,4.51692,1.67505,20,327680
decode_kv_gb_s,4.53359,1.68766,20,327680
decode_kv_gb_s,4.55025,1.69083,20,327680
decode_kv_gb_s,4.56692,1.70135,20,327680
decode_kv_gb_s,4.58359,1.69964,20,327680
decode_kv_gb_s,4.60025,1.70036,20,327680
decode_kv_gb_s,4.61692,1.69895,20,327680
decode_kv_gb_s,4.63359,1.69869,20,327680
decode_kv_gb_s,4.65025,1.69566,20,327680
decode_kv_gb_s,4.66692,1.69384,20,327680
decode_kv_gb_s,4.68359,1.69072,20,327680
decode_kv_gb_s,4.70025,1.67818,20,327680
decode_kv_gb_s,4.71692,1.66773,20,327680
decode_kv_gb_s,4.73359,1.65683,20,327680
decode_kv_gb_s,4.75025,1.65082,20,327680
decode_kv_gb_s,4.76692,1.64567,20,327680
decode_kv_gb_s,4.78359,1.63411,20,327680
decode_kv_gb_s,4.80025,1.61756,20,327680
decode_kv_gb_s,4.81692,1.60874,20,327680
decode_kv_gb_s,4.83359,1.59408,20,327680
decode_kv_gb_s,4.85025,1.58293,20,327680
decode_kv_gb_s,4.86692,1.57083,20,327680
decode_kv_gb_s,4.88359,1.56270,20,327680
decode_kv_gb_s,4.90025,1.55128,20,327680
decode_kv_gb_s,4.91692,1.55491,20,327680
decode_kv_gb_s,4.93359,1.55357,20,327680
decode_kv_gb_s,4.95025,1.55274,20,327680
decode_kv_gb_s,4.96692,1.54932,20,327680
decode_kv_gb_s,4.98359,1.53462,20,327680
decode_kv_gb_s,5.00025,1.53814,20,327680
decode_kv_gb_s,5.01692,1.54808,20,327680
decode_kv_gb_s,5.03359,1.57006,20,327680
decode_kv_gb_s,5.05025,1.59272,20,327680
decode_kv_gb_s,5.06692,1.61387,20,327680
decode_kv_gb_s,5.08359,1.63508,20,327680
decode_kv_gb_s,5.10025,1.64855,20,327680
decode_kv_gb_s,5.11692,1.65748,20,327680
decode_kv_gb_s,5.13359,1.67111,20,327680
decode_kv_gb_s,5.15025,1.67806,20,327680
decode_kv_gb_s,5.16692,1.70526,20,327680
decode_kv_gb_s,5.18359,1.72637,20,327680
decode_kv_gb_s,5.20025,1.75296,20,327680
decode_kv_gb_s,5.21692,1.77746,20,327680
decode_kv_gb_s,5.23359,1.79876,20,327680
decode_kv_gb_s,5.25025,1.82301,20,327680
decode_kv_gb_s,5.26692,1.84126,20,327680
decode_kv_gb_s,5.28359,1.86781,20,327680
decode_kv_gb_s,5.30025,1.90926,20,327680
decode_kv_gb_s,5.31692,1.95480,20,327680
decode_kv_gb_s,5.33359,1.96445,20,327680
decode_kv_gb_s,5.35025,1.98459,20,327680
decode_kv_gb_s,5.36692,2.00986,20,327680
decode_kv_gb_s,5.38359,2.01335,20,327680
decode_kv_gb_s,5.40025,2.03985,20,327680
decode_kv_gb_s,5.41692,2.06737,20,327680
decode_kv_gb_s,5.43359,2.11392,20,327680
decode_kv_gb_s,5.45025,2.17029,20,327680
decode_kv_gb_s,5.46692,2.22969,20,327680
decode_kv_gb_s,5.48359,2.29950,20,327680
decode_kv_gb_s,5.50025,2.33893,20,327680
decode_kv_gb_s,5.51692,2.39968,20,327680
decode_kv_gb_s,5.53359,2.43213,20,327680
decode_kv_gb_s,5.55025,2.51343,20,327680
decode_kv_gb_s,5.56692,2.57011,20,327680
decode_kv_gb_s,5.58359,2.63327,20,327680
decode_kv_gb_s,5.60025,2.70589,20,327680
decode_kv_gb_s,5.61692,2.78439,20,327680
decode_kv_gb_s,5.63359,2.81559,20,327680
decode_kv_gb_s,5.65025,2.84011,20,327680
decode_kv_gb_s,5.66692,2.92684,20,327680
decode_kv_gb_s,5.68359,3.00403,20,327680
decode_kv_gb_s,5.70025,3.07416,20,327680
decode_kv_gb_s,5.71692,3.16052,20,327680
decode_kv_gb_s,5.73359,3.22375,20,327680
decode_kv_gb_s,5.75025,3.26849,20,327680
decode_kv_gb_s,5.76692,3.31304,20,327680
