arm,run,engine_rank,engine_port,series,minute,value
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0040,60.3800
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0206,62.4516
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0373,64.1682
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0540,66.3640
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0706,67.4896
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.0873,68.2916
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1040,68.6191
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1206,68.8418
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1373,68.4329
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1540,70.1969
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1706,71.9005
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.1873,73.3828
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2040,73.6664
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2206,74.8371
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2373,75.5463
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2540,76.6990
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2706,77.2677
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.2873,78.8749
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3040,80.9968
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3206,83.7967
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3373,86.0185
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3540,88.4613
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3706,90.3357
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.3873,91.7874
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4040,94.1044
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4206,95.4826
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4373,96.7455
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4540,97.4726
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4706,98.2299
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.4873,98.8647
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5040,99.1748
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5206,98.4248
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5373,99.7162
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5540,99.4336
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5706,99.8848
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.5873,99.9430
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6040,99.4577
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6206,99.4924
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6373,98.5788
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6540,99.6686
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6706,99.5898
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.6873,98.8724
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7040,99.2181
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7206,99.4412
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7373,98.1618
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7540,97.4581
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7706,97.1347
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.7873,96.8966
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.8040,96.9676
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.8206,95.9114
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.8373,94.7387
Llumnix SLO,260831_2346_exp109r1_slot75_shift,1,8000,kv_cache_usage_pct,35.8540,95.1460
