arm,rate_req_s,n_repeats,preemptions,preemptions_min,preemptions_max,kv_p90_pct,kv_p90_pct_min,kv_p90_pct_max,queue_p90_reqs,queue_p90_reqs_min,queue_p90_reqs_max,batch_p90_reqs,batch_p90_reqs_min,batch_p90_reqs_max,kv_mean_pct,kv_mean_pct_min,kv_mean_pct_max,source,run_set
vLLM-router,10.0,2,0.0,0.0,0.0,12.668230434663677,12.60688787373143,12.729572995595921,0.0,0.0,0.0,40.75,40.25,41.25,7.724321107696159,7.7201663501506825,7.728475865241636,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,15.0,2,0.0,0.0,0.0,21.696904833547613,21.534863364061604,21.85894630303362,0.125,0.0,0.25,69.625,69.0,70.25,14.074753749016022,13.99822692830872,14.151280569723323,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,20.0,2,0.0,0.0,0.0,35.44622096999207,35.4112755423038,35.48116639768034,0.375,0.0,0.75,112.85000000000001,112.5,113.20000000000002,23.235791368040577,23.170283930621803,23.30129880545935,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,25.0,2,0.0,0.0,0.0,58.28627212298602,58.08224143118965,58.490302814782396,1.0,1.0,1.0,180.33749999999998,178.975,181.7,38.46024099079061,38.18396579428094,38.73651618730028,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,35.0,2,3484.5,3422.0,3547.0,99.92771562217906,99.9227234182236,99.93270782613453,625.0125,622.4000000000001,627.625,343.9875,341.375,346.6,68.35786066754659,68.17577956846051,68.53994176663268,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,45.0,1,4018.0,4018.0,4018.0,99.93667423475668,99.93667423475668,99.93667423475668,1702.9499999999998,1702.9499999999998,1702.9499999999998,344.1,344.1,344.1,68.47653839464272,68.47653839464272,68.47653839464272,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,55.0,2,4011.0,3909.0,4113.0,99.93893098448997,99.93776841644555,99.94009355253439,2849.425,2824.55,2874.3,349.75,349.4,350.1,69.41972138804837,69.31741059023904,69.52203218585773,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
vLLM-router,70.0,1,4029.0,4029.0,4029.0,99.93763164373445,99.93763164373445,99.93763164373445,4625.549999999999,4625.549999999999,4625.549999999999,357.5,357.5,357.5,69.30228025315265,69.30228025315265,69.30228025315265,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,10.0,2,0.0,0.0,0.0,19.0974710725716,18.915939491752603,19.279002653390595,0.375,0.25,0.5,68.475,63.25,73.69999999999999,11.84556493818328,11.501513769467731,12.189616106898828,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,15.0,2,0.0,0.0,0.0,33.54354159258145,33.319200153185434,33.76788303197746,2.0,1.75,2.25,116.875,116.5,117.25,20.896077645700174,20.85405220282675,20.938103088573595,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,20.0,2,0.0,0.0,0.0,49.23646634023579,47.76349262795087,50.709440052520726,1.25,1.0,1.5,166.08750000000003,165.92499999999998,166.25000000000009,29.113007452735182,29.03156732318022,29.19444758229014,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,25.0,2,0.0,0.0,0.0,57.938014607325556,57.759662992039836,58.11636622261127,1.75,1.5,2.0,196.8,195.65,197.95000000000002,40.31201017767877,39.9464642219543,40.67755613340325,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,35.0,2,0.0,0.0,0.0,55.96034959104959,55.754438274475476,56.16626090762371,2.0,2.0,2.0,247.0,240.25,253.75,40.91056738121199,40.778547182147015,41.04258758027697,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,45.0,2,0.0,0.0,0.0,55.95737478458298,55.79759006483026,56.117159504335696,2.375,2.25,2.5,253.45000000000002,253.40000000000003,253.5,41.13676115742494,41.08549322504074,41.18802908980914,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,55.0,2,0.0,0.0,0.0,55.7858618048527,55.4049839975928,56.16673961211259,2.5,2.25,2.75,257.725,256.7,258.75,41.19365530628397,40.878055568837254,41.5092550437307,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
PolyServe,70.0,2,0.0,0.0,0.0,56.87036682441119,56.70856470716963,57.03216894165276,2.4250000000000114,2.3000000000000114,2.5500000000000114,258.0,256.5,259.5,42.1600843283492,41.97754497520192,42.34262368149647,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,10.0,2,0.0,0.0,0.0,13.628887764313266,13.549388625981345,13.708386902645186,0.0,0.0,0.0,50.625,50.0,51.25,8.350655342806702,8.319133018493627,8.382177667119777,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,15.0,2,0.0,0.0,0.0,24.67940476516126,24.566704051207708,24.79210547911481,0.125,0.0,0.25,86.375,86.25,86.5,15.425299478228784,15.41786830452782,15.432730651929745,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,20.0,2,0.0,0.0,0.0,38.77044752031075,38.70435210766749,38.83654293295402,1.0,1.0,1.0,128.10000000000002,127.20000000000002,129.0,26.30451077275362,26.24719247359051,26.36182907191673,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,25.0,2,0.0,0.0,0.0,73.3954851328063,73.20964521158739,73.58132505402523,1.125,1.0,1.25,223.1125,222.225,224.0,48.291428817710326,48.054070796645156,48.5287868387755,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,35.0,2,484.0,463.0,505.0,97.906796236015,97.88542549990427,97.92816697212572,19.625,19.5,19.75,288.27500000000003,285.05000000000007,291.5,70.28122775138303,70.04463469448575,70.5178208082803,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,45.0,2,1300.0,1264.0,1336.0,99.92880980386794,99.92368082720137,99.9339387805345,40.625,40.25,41.0,206.42500000000007,205.75000000000006,207.10000000000008,75.00084331942563,74.9921563432915,75.00953029555977,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,55.0,2,1327.5,1320.0,1335.0,99.92757884946795,99.92627950871241,99.92887819022349,40.875,40.75,41.0,206.35000000000005,205.17500000000004,207.52500000000006,75.36804976015446,75.36674369287216,75.36935582743678,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
Llumnix SLO,70.0,2,1493.5,1470.0,1517.0,99.9339387805345,99.93352846240117,99.93434909866784,49.9875,49.974999999999994,50.0,215.6375,214.52499999999995,216.75,75.54547631564608,75.46913822107153,75.62181441022062,engine Prometheus series; no SLO scoring,exp108_paper_ladder95 + vllm77_ladder95
