panel,series,x_minutes,value,n_requests,attainment_window_s,run,engine_port
a,kv_cache_usage_pct,35.00397,64.82217,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.02064,66.94469,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.03730,68.85032,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.05397,69.68263,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.07064,70.03580,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.08730,71.86207,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.10397,73.28544,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.12064,73.63338,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.13730,73.60723,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.15397,75.50810,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.17064,76.78532,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.18730,76.57123,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.20397,75.54461,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.22064,77.32342,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.23730,79.32000,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.25397,81.68789,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.27064,81.57598,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.28730,83.11874,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.30397,84.61762,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.32064,86.84381,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.33730,89.09395,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.35397,90.69337,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.37064,91.35756,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.38730,92.90168,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.40397,93.69592,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.42064,95.26128,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.43730,96.46902,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.45397,98.00770,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.47064,98.56482,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.48730,99.14891,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.50397,99.87205,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.52064,99.86928,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.53730,99.71783,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.55397,99.58999,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.57064,99.31030,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.58730,99.61375,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.60397,99.89640,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.62064,99.50884,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.63730,98.96785,,,260831_2346_exp109r1_slot75_shift,8002
