arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
PolyServe,four,0.7500,4691.6344,1633.2778,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,1.2500,5677.9514,3394.4222,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,1.7500,5549.3322,5028.6000,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,2.2500,5445.0014,5083.5444,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,2.7500,4618.4118,4748.7333,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,3.2500,4411.6387,4902.7667,100.0000,100.0000,100.0000,0.0000,59.2500
PolyServe,four,3.7500,4415.4315,5203.0667,98.5887,98.5887,98.5887,0.0000,59.2500
PolyServe,four,4.2500,5674.8830,5440.5556,98.2824,98.2824,98.2824,0.0000,59.2500
PolyServe,four,4.7500,6410.6444,5478.4444,81.4662,81.4662,81.4662,0.0000,59.2500
PolyServe,four,5.2500,6170.4491,6422.6889,62.6427,62.6427,62.6427,0.0000,59.2500
PolyServe,four,5.7500,10438.0948,7195.2000,47.1762,41.9879,41.9879,0.0000,59.2500
PolyServe,four,6.2500,14774.1142,7807.3111,41.0830,33.7986,33.7986,0.0000,59.2500
PolyServe,four,6.7500,14006.9689,7433.4556,38.0261,28.4006,28.4006,0.0000,59.2500
PolyServe,four,7.2500,13917.4005,7265.0667,38.5246,28.9879,28.9879,0.0000,59.2500
PolyServe,four,7.7500,16034.6891,7193.5556,38.7343,28.6925,28.6925,0.0000,59.2500
PolyServe,four,8.2500,13948.6981,7156.2778,36.8187,27.8385,27.8385,0.0000,59.2500
PolyServe,four,8.7500,11071.5770,7132.4111,36.2199,26.8041,26.8041,0.0000,59.2500
PolyServe,four,9.2500,15262.2417,6917.6889,36.0461,26.6630,26.6630,0.0000,59.2500
PolyServe,four,9.7500,13151.8050,6771.9889,35.3234,25.7103,25.7103,0.0000,59.2500
PolyServe,four,10.2500,13984.9295,7127.8111,39.1532,30.2285,30.2285,0.0000,59.2500
PolyServe,four,10.7500,15602.3366,7433.3556,48.0472,40.8509,40.8509,0.0000,59.2500
PolyServe,four,11.2500,13024.2133,7323.8333,57.1695,53.7078,53.7078,0.0000,59.2500
PolyServe,four,11.7500,8768.6299,6767.7444,59.4406,59.4406,59.4406,0.0000,59.2500
PolyServe,four,12.2500,6515.1201,7040.6444,59.4624,59.4624,59.4624,0.0000,59.2500
PolyServe,four,12.7500,10708.8594,7757.5667,62.0706,62.0706,62.0706,0.0000,59.2500
PolyServe,four,13.2500,11564.2811,8980.9222,67.6124,67.6124,67.6124,0.0000,59.2500
PolyServe,four,13.7500,9760.4088,8998.4222,76.1710,76.1710,76.1710,0.0000,59.2500
PolyServe,four,14.2500,11779.6616,7842.3778,85.1299,85.1299,85.1299,0.0000,59.2500
PolyServe,four,14.7500,8061.0037,6780.0333,98.9503,98.9503,98.9503,0.0000,59.2500
PolyServe,four,15.2500,6102.5601,6095.7000,99.9213,99.9213,99.9213,0.0000,59.2500
PolyServe,four,15.7500,8152.1544,7729.5444,85.5254,82.0427,82.0427,0.0000,59.2500
PolyServe,four,16.2500,3069.0682,7959.3111,83.0758,70.5426,70.5426,0.0000,59.2500
PolyServe,four,16.7500,12794.6359,8609.1556,81.4064,62.3511,62.3511,0.0000,59.2500
PolyServe,four,17.2500,9561.3269,7923.8778,92.0285,66.8908,66.8908,0.0000,59.2500
PolyServe,four,17.7500,8163.4458,8097.7778,90.9415,71.5087,71.5087,0.0000,59.2500
PolyServe,four,18.2500,8770.3862,8370.2889,92.9670,79.4615,79.4615,0.0000,59.2500
PolyServe,four,18.7500,6725.8262,8357.8778,94.2040,78.7730,78.7730,0.0000,59.2500
PolyServe,four,19.2500,12044.6197,8449.5778,95.4861,76.7728,76.7728,0.0000,59.2500
PolyServe,four,19.7500,10553.2370,8611.2889,91.2067,65.4236,65.4236,0.0000,59.2500
PolyServe,four,20.2500,8354.9476,8905.7889,87.1239,56.9406,56.9406,0.0000,59.2500
PolyServe,four,20.7500,6409.7081,9438.6556,82.7414,49.0138,49.0138,0.0000,59.2500
PolyServe,four,21.2500,13036.0024,9708.5556,80.9725,45.3657,45.3657,0.0000,59.2500
PolyServe,four,21.7500,8154.6746,9752.8778,79.3559,44.5465,44.5465,0.0000,59.2500
PolyServe,four,22.2500,6413.1826,9543.0111,81.4255,46.4715,46.4715,0.0000,59.2500
PolyServe,four,22.7500,10360.5510,9560.9667,84.7392,50.3130,50.3130,0.0000,59.2500
PolyServe,four,23.2500,10359.9418,9708.2000,86.9928,52.2363,52.2363,0.0000,59.2500
PolyServe,four,23.7500,9100.0897,9700.4000,84.7486,51.5285,51.5285,0.0000,59.2500
PolyServe,four,24.2500,10929.8127,9278.4222,82.4789,49.4094,49.4094,0.0000,59.2500
PolyServe,four,24.7500,9521.2143,8894.4000,85.5248,53.0970,53.0970,0.0000,59.2500
PolyServe,four,25.2500,11586.0103,8759.9111,89.4997,60.4758,60.4758,0.0000,59.2500
PolyServe,four,25.7500,9532.6364,8326.2111,94.2308,72.5542,72.5542,0.0000,59.2500
PolyServe,four,26.2500,6234.8589,8157.4222,94.0529,79.9625,79.9625,0.0000,59.2500
PolyServe,four,26.7500,11243.5544,8190.2111,96.4544,79.5821,79.5821,0.0000,59.2500
PolyServe,four,27.2500,6229.8260,8600.9333,95.1102,73.9293,73.9293,0.0000,59.2500
PolyServe,four,27.7500,11461.1084,8835.6667,92.4904,65.5596,65.5596,0.0000,59.2500
PolyServe,four,28.2500,11811.2770,9103.6778,89.9325,60.1149,60.1149,0.0000,59.2500
PolyServe,four,28.7500,10630.0362,9011.2000,88.7492,61.3913,61.3913,0.0000,59.2500
PolyServe,four,29.2500,7793.3478,8981.3889,92.8427,70.7305,70.7305,0.0000,59.2500
PolyServe,four,29.7500,9338.6804,8421.5444,94.1043,82.9447,82.9447,0.0000,59.2500
PolyServe,four,30.2500,7553.0258,8312.5000,96.5245,89.3928,89.3928,0.0000,59.2500
PolyServe,four,30.7500,10880.2380,8664.3333,86.4050,83.4800,83.4800,0.0000,59.2500
PolyServe,four,31.2500,10299.3942,9611.7000,78.9054,77.2321,77.2321,0.0000,59.2500
PolyServe,four,31.7500,12898.6336,10495.7000,71.0551,71.0214,71.0214,0.0000,59.2500
PolyServe,four,32.2500,13340.6808,10496.6889,71.6612,71.6612,71.6612,0.0000,59.2500
PolyServe,four,32.7500,13144.7980,10119.4667,73.4300,73.4300,73.4300,0.0000,59.2500
PolyServe,four,33.2500,10330.4970,9143.7000,73.5546,73.5546,73.5546,0.0000,59.2500
PolyServe,four,33.7500,8701.5690,8903.4222,69.6563,69.6563,69.6563,0.0000,59.2500
PolyServe,four,34.2500,9117.5727,9236.4222,62.0791,61.9883,61.9883,0.0000,59.2500
PolyServe,four,34.7500,13040.3618,9704.5111,57.0521,53.5800,53.5800,0.0000,59.2500
PolyServe,four,35.2500,15603.9149,9980.7333,51.6730,47.6675,47.6675,0.0000,59.2500
