arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
vLLM,exp113_qwen,0.7500,3722.4161,1754.5333,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,1.2500,5105.1459,3577.2556,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,1.7500,5413.3058,4908.7000,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,2.2500,4436.6853,4766.4778,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,2.7500,5205.3473,4227.1222,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,3.2500,4267.9599,4555.7556,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,3.7500,5052.6493,4572.5556,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,4.2500,4459.9014,4878.5778,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,4.7500,5141.0352,5460.3333,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,5.2500,5145.9754,8608.3000,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,5.7500,11025.2268,12217.6111,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,6.2500,13075.8547,15564.7556,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,6.7500,14829.9797,16664.4222,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,7.2500,16421.7123,16600.4889,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,7.7500,17130.8838,16776.8222,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,8.2500,16234.5521,16411.3111,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,8.7500,17326.2365,16778.9889,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,9.2500,15894.5580,16790.4333,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,9.7500,14842.7699,16511.6444,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,10.2500,18106.9688,15681.1889,99.9549,99.9549,99.9549,0.0000,58.7500
vLLM,exp113_qwen,10.7500,17363.6822,13252.9444,99.9458,99.9458,99.9458,0.0000,58.7500
vLLM,exp113_qwen,11.2500,14801.7446,10315.7556,99.9308,99.9308,99.9308,0.0000,58.7500
vLLM,exp113_qwen,11.7500,9590.2340,8646.0556,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,12.2500,8601.3060,8898.8000,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,12.7500,9832.7189,10413.1333,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,13.2500,10761.4891,11052.3667,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,13.7500,10636.5522,10130.2111,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,14.2500,11094.4417,8116.3778,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,14.7500,6950.5793,6392.3333,100.0000,100.0000,100.0000,0.0000,58.7500
vLLM,exp113_qwen,15.2500,5353.7342,5939.6111,99.2710,99.2710,99.2710,0.0000,58.7500
vLLM,exp113_qwen,15.7500,6682.7168,9691.5444,90.1198,90.1198,90.1198,0.0000,58.7500
vLLM,exp113_qwen,16.2500,6252.7379,12709.5667,87.2187,87.2187,87.2187,0.0000,58.7500
vLLM,exp113_qwen,16.7500,12438.5428,14292.7111,64.2583,64.2583,64.2583,0.0000,58.7500
vLLM,exp113_qwen,17.2500,13525.0752,10618.1111,40.0955,40.0955,40.0955,0.0000,58.7500
vLLM,exp113_qwen,17.7500,9580.3948,6347.4000,13.9078,13.9078,13.9078,0.0000,58.7500
vLLM,exp113_qwen,18.2500,9078.2771,3075.6667,1.6699,1.6699,1.6699,0.0000,58.7500
vLLM,exp113_qwen,18.7500,9847.1369,1875.7333,0.0000,0.0000,0.0000,0.0000,58.7500
vLLM,exp113_qwen,19.2500,10479.5737,1329.2667,0.0000,0.0000,0.0000,0.0000,58.7500
vLLM,exp113_qwen,19.7500,9457.1994,792.0667,0.0000,0.0000,0.0000,0.0000,58.7500
vLLM,exp113_qwen,20.2500,10933.3113,121.9778,0.0000,0.0000,0.0000,0.0000,58.7500
vLLM,exp113_qwen,20.7500,8880.7625,3.6556,0.0000,0.0000,0.0000,0.0000,58.7500
vLLM,exp113_qwen,21.2500,11755.0317,3.0667,0.0000,0.0000,0.0000,0.0000,58.7500
