arm,arm_set,minute,throughput_tok_s,goodput_tok_s,attainment_admitted_pct,attainment_offered_pct,attainment_all_arrivals_pct,in_flight_at_end_frac,cut_at_minute
FluidServe,four,0.7500,3919.1701,1699.3222,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,1.2500,5387.6218,3521.0889,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,1.7500,5121.7211,4846.7333,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,2.2500,4269.2365,4764.0556,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,2.7500,5140.6629,4229.4444,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,3.2500,4438.6194,4589.1556,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,3.7500,3677.2037,4652.3778,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,4.2500,5137.6721,4992.2667,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,4.7500,4853.5047,5501.6778,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,5.2500,5482.7734,8685.6111,100.0000,100.0000,100.0000,0.0000,59.7500
FluidServe,four,5.7500,10403.6742,11685.5222,100.0000,95.3422,95.3422,0.0000,59.7500
FluidServe,four,6.2500,10083.5139,15000.7000,99.8578,95.7292,95.7292,0.0000,59.7500
FluidServe,four,6.7500,14822.0559,16004.2889,99.8640,95.9077,95.9077,0.0000,59.7500
FluidServe,four,7.2500,13475.5659,16451.4556,99.8670,99.2070,99.2070,0.0000,59.7500
FluidServe,four,7.7500,17275.0245,16697.1667,100.0000,99.6935,99.6935,0.0000,59.7500
FluidServe,four,8.2500,14813.5470,16322.4333,100.0000,99.1331,99.1331,0.0000,59.7500
FluidServe,four,8.7500,15278.1140,16683.7667,100.0000,99.3512,99.3512,0.0000,59.7500
FluidServe,four,9.2500,14448.2860,16331.1667,99.9563,97.8596,97.8596,0.0000,59.7500
FluidServe,four,9.7500,17257.6232,16118.8222,99.9555,98.2088,98.2088,0.0000,59.7500
FluidServe,four,10.2500,18964.8229,15183.4444,99.9539,97.8330,97.8330,0.0000,59.7500
