h,n,goodput,goodput_min,goodput_max,all_arrivals,all_min,all_max,admitted,adm_min,adm_max,rejected_pct,runs,panel,model,drawn,rule,goodput_definition
1,2,6148.9524,6114.3394,6183.5655,34.7609,34.5429,34.9789,100.0000,100.0000,100.0000,65.1027,260912_1757_exp131jr1_fsv3t75h1_t75_rpm_2100;260912_1834_exp131jr2_fsv3t75h1_t75_rpm_2100,a,Llama-3.1-70B,False,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
10,2,12857.8655,12775.4875,12940.2435,74.7750,74.0438,75.5062,100.0000,100.0000,100.0000,24.3763,260912_1815_exp131jr1_fsv3t75h10_t75_rpm_2100;260912_1853_exp131jr2_fsv3t75h10_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
25,2,14394.0484,14393.0527,14395.0440,82.8246,82.7875,82.8617,99.9589,99.9403,99.9775,15.2822,260912_1627_exp131hr1_fsv3t75h25_t75_rpm_2100;260912_1646_exp131hr2_fsv3t75h25_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
50,2,14327.9434,14143.2367,14512.6501,82.6467,81.4734,83.8199,99.6319,99.5519,99.7118,15.0937,260912_1337_exp131er1_fsv3t75h50_t75_rpm_2100;260912_1433_exp131er2_fsv3t75h50_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
100,2,13245.6798,13126.1443,13365.2152,74.5388,73.6192,75.4583,98.6714,98.5708,98.7719,22.1874,260831_0257_exp108r1_fsv3capgnofrct75_t75_rpm_2100;260831_1145_exp108r2_fsv3capgnofrct75_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
250,2,10120.8368,9691.9169,10549.7567,59.3122,56.2992,62.3251,88.4795,87.4735,89.4854,30.8954,260912_1356_exp131er1_fsv3t75h250_t75_rpm_2100;260912_1451_exp131er2_fsv3t75h250_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
500,2,8281.5247,8248.0966,8314.9528,49.2343,49.0619,49.4067,79.8409,79.0077,80.6741,35.5077,260912_1414_exp131er1_fsv3t75h500_t75_rpm_2100;260912_1510_exp131er2_fsv3t75h500_t75_rpm_2100,a,Llama-3.1-70B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
1,2,6720.5560,6621.3594,6819.7526,39.1436,38.7947,39.4925,99.9260,99.9020,99.9501,60.1008,260914_0036_exp136qr1_fsv3t75h1_t75_rpm_1344;260914_0248_exp136qr2_fsv3t75h1_t75_rpm_1344,b,Qwen2.5-72B,False,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
10,2,13267.3736,13259.0974,13275.6499,81.0121,80.9547,81.0696,99.1348,99.0875,99.1822,16.1453,260914_0018_exp136qr1_fsv3t75h10_t75_rpm_1344;260914_0229_exp136qr2_fsv3t75h10_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
25,2,13878.4538,13832.5019,13924.4057,84.2703,84.2146,84.3260,97.7789,97.6791,97.8788,10.7797,260913_2309_exp136qr1_fsv3t75h25_t75_rpm_1344;260914_0133_exp136qr2_fsv3t75h25_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
50,2,13741.3239,13701.1468,13781.5010,83.0111,82.3643,83.6579,96.5137,96.5024,96.5251,10.7350,260914_0152_exp136qr2_fsv3t75h50_t75_rpm_1344;260914_0405_exp136qr1_fsv3t75h50_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
100,2,13237.2855,13227.2911,13247.2800,78.3615,77.8596,78.8633,95.3315,95.0645,95.5986,14.1786,260913_2249_exp136qr1_fsv3capgnofrct75_t75_rpm_1344;260914_0114_exp136qr2_fsv3capgnofrct75_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
250,2,10029.1104,10014.4030,10043.8178,65.5324,65.1246,65.9401,86.0577,85.8819,86.2335,19.8171,260913_2358_exp136qr1_fsv3t75h250_t75_rpm_1344;260914_0211_exp136qr2_fsv3t75h250_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
500,2,7587.9653,7488.3418,7687.5889,45.2537,43.7064,46.8011,77.8339,77.2276,78.4403,36.5525,260914_0327_exp136qr1_fsv3t75h500_t75_rpm_1344;260914_0346_exp136qr2_fsv3t75h500_t75_rpm_1344,b,Qwen2.5-72B,True,exp22 mean-TBT rule (not ladder95),"output tokens of requests that met the rule, per second"
