k,arm,repeat,run,n,all_arrivals,admitted,rejected_pct,tok_goodput,req_goodput,window_s
0.7000,FluidServe,1,260914_0936_exp139k070r1_fsv3capgnofrct75k_k070_rpm_2100,16188,66.1478,99.6464,32.5117,11922.6159,23.1330,462.8884
0.7000,FluidServe,2,260914_1108_exp139k070r2_fsv3capgnofrct75k_k070_rpm_2100,16136,65.5367,99.6232,33.2610,11841.3859,22.8886,462.0213
0.7000,Llumnix,1,260914_1050_exp139k070r1_slot75_k070fair_rpm_2100,16129,21.6256,77.7877,71.1637,6125.4789,7.5559,461.6261
0.7000,Llumnix,2,260914_2149_exp139k070r2_slot75_k070fair_rpm_2100,16115,21.6755,77.5189,71.0580,6130.2205,7.5800,460.8182
0.7000,PolyServe,1,260914_1031_exp139k070r1_polyservept75_k070fair_rpm_2100,16378,17.5296,23.5811,23.3850,3846.4829,6.1151,469.4964
0.7000,PolyServe,2,260914_2130_exp139k070r2_polyservept75_k070fair_rpm_2100,16161,17.1833,23.0113,23.7485,3798.6381,5.9971,463.0560
0.7000,llm-d,1,260914_1015_exp139k070r1_llmdslot75_k070fair_rpm_2100,16141,18.5119,92.8816,79.7844,4657.1277,6.4725,461.6431
0.7000,llm-d,2,260914_1640_exp139k070r2_llmdslot75_k070fair_rpm_2100,16122,30.1948,92.5124,67.0264,6222.2670,10.5601,460.9793
0.9000,FluidServe,1,260914_1827_exp139k090r1_fsv3capgnofrct75k_k090_rpm_2100,16193,80.2693,99.0777,17.4211,13796.1348,28.0423,463.5137
0.9000,Llumnix,1,260914_1940_exp139k090r1_slot75_k090fair_rpm_2100,16143,14.6565,29.4242,47.3208,4248.7293,5.1256,461.6020
0.9000,PolyServe,1,260914_1921_exp139k090r1_polyservept75_k090fair_rpm_2100,16128,18.3656,21.3308,11.8490,3676.0497,6.4232,461.1426
0.9000,llm-d,1,260914_1905_exp139k090r1_llmdslot75_k090fair_rpm_2100,16172,25.3834,91.4254,71.7536,5866.9822,8.8680,462.8996
1.0000,FluidServe,1,260831_0257_exp108r1_fsv3capgnofrct75_t75_rpm_2100,16201,75.4583,98.7719,21.1962,13365.2152,26.3781,463.4525
1.0000,FluidServe,2,260831_1145_exp108r2_fsv3capgnofrct75_t75_rpm_2100,16114,73.6192,98.5708,23.1786,13126.1443,25.7535,460.6368
1.0000,Llumnix,1,260831_0956_exp108r1_slot75_t75fair_rpm_2100,16129,11.8420,21.1003,40.0149,3237.3088,4.1425,461.0759
1.0000,Llumnix,2,260831_1831_exp108r2_slot75_t75fair_rpm_2100,16115,12.3177,21.3625,38.3245,3280.0930,4.3072,460.8589
1.0000,PolyServe,1,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,16149,18.8123,21.7031,10.7251,3960.5430,6.5727,462.2124
1.0000,PolyServe,2,260831_1643_exp108r2_polyservept75_t75fair_rpm_2100,16128,19.5561,22.4724,10.3361,4032.1802,6.8290,461.8561
1.0000,llm-d,1,260831_0548_exp108r1_llmdslot75_t75fair_rpm_2100,16131,42.5826,88.9767,51.1624,8489.8866,14.8844,461.4897
1.0000,llm-d,2,260831_1427_exp108r2_llmdslot75_t75fair_rpm_2100,16147,37.5054,91.8271,58.0108,7788.8619,13.1056,462.0929
1.1000,FluidServe,1,260914_1958_exp139k110r1_fsv3capgnofrct75k_k110_rpm_2100,16145,78.2657,97.1253,17.1818,13501.1364,27.3479,462.0460
1.1000,Llumnix,1,260914_2111_exp139k110r1_slot75_k110fair_rpm_2100,16169,6.6176,12.8205,43.9854,1547.3497,2.3139,462.4165
1.1000,PolyServe,1,260914_2052_exp139k110r1_polyservept75_k110fair_rpm_2100,16193,40.4743,47.5582,12.7215,6424.8966,14.1391,463.5371
1.1000,llm-d,1,260914_2036_exp139k110r1_llmdslot75_k110fair_rpm_2100,16141,56.1675,93.8509,38.6717,10717.6656,19.6352,461.7213
1.3000,FluidServe,1,260914_1656_exp139k130r1_fsv3capgnofrct75k_k130_rpm_2100,16129,81.9208,95.0439,10.7446,13691.9233,28.6409,461.3339
1.3000,FluidServe,2,260914_2208_exp139k130r2_fsv3capgnofrct75k_k130_rpm_2100,16194,81.1967,95.0210,11.3993,13588.0689,28.3512,463.7896
1.3000,Llumnix,1,260914_1808_exp139k130r1_slot75_k130fair_rpm_2100,16140,6.7224,12.6266,41.6605,1539.9089,2.3503,461.6481
1.3000,PolyServe,1,260914_1750_exp139k130r1_polyservept75_k130fair_rpm_2100,16152,83.8348,98.8178,13.1377,13738.0615,29.3030,462.1032
1.3000,llm-d,1,260914_1734_exp139k130r1_llmdslot75_k130fair_rpm_2100,16177,47.0359,93.2133,47.4563,9241.4171,16.4302,463.1115
1.3000,llm-d,2,260914_2246_exp139k130r2_llmdslot75_k130fair_rpm_2100,16218,42.2247,89.3412,50.8077,8640.4934,14.7368,464.6884
