panel,model,arm,run,req_goodput_s,drawn,span_min,budgets
a,Llama-3.1-70B,vLLM,260901_2010_exp109r2_vllmcachet75_shift,5.9496,True,59.2500,standard
a,Llama-3.1-70B,vLLM,260901_2137_exp109r1_vllmcachet75_shift,6.0329,False,59.2500,standard
a,Llama-3.1-70B,Llumnix,260901_1856_exp109r2_slot75_shift,7.7584,True,59.2500,standard
a,Llama-3.1-70B,Llumnix,260831_2346_exp109r1_slot75_shift,7.6470,False,59.2500,standard
a,Llama-3.1-70B,PolyServe,260901_1742_exp109r2_polyservept75_shift,14.5252,True,59.2500,standard
a,Llama-3.1-70B,PolyServe,260831_2232_exp109r1_polyservept75_shift,14.0776,False,59.2500,standard
a,Llama-3.1-70B,llm-d,260901_1637_exp109r2_llmdslot75_shift,15.3339,True,59.2500,standard
a,Llama-3.1-70B,llm-d,260831_2128_exp109r1_llmdslot75_shift,13.5581,False,59.2500,standard
a,Llama-3.1-70B,FluidServe,260901_1514_exp109r2_fsv3capgnofrct75_shift,21.5153,True,59.2500,standard
a,Llama-3.1-70B,FluidServe,260831_2015_exp109r1_fsv3capgnofrct75_shift,21.7108,False,59.2500,standard
b,Qwen2.5-72B,vLLM,260903_1406_exp113r2_vllmcachet75_shiftq,4.2409,True,58.7500,standard
b,Qwen2.5-72B,vLLM,260903_0702_exp113r1_vllmcachet75_shiftq,4.2414,False,58.7500,standard
b,Qwen2.5-72B,Llumnix,260903_1252_exp113r2_slot75_shiftq,5.2695,True,58.7500,standard
b,Qwen2.5-72B,Llumnix,260903_0548_exp113r1_slot75_shiftq,5.2533,False,58.7500,standard
b,Qwen2.5-72B,PolyServe,260903_1139_exp113r2_polyservept75_shiftq,10.5399,True,58.7500,standard
b,Qwen2.5-72B,PolyServe,260903_0436_exp113r1_polyservept75_shiftq,10.4865,False,58.7500,standard
b,Qwen2.5-72B,llm-d,260903_1537_exp113r2_llmdslot75_shiftq,9.9481,True,58.7500,standard
b,Qwen2.5-72B,llm-d,260903_0834_exp113r1_llmdslot75_shiftq,9.5628,False,58.7500,standard
b,Qwen2.5-72B,FluidServe,260903_1031_exp113r2_fsv3capgnofrct75_shiftq,14.1654,True,58.7500,standard
b,Qwen2.5-72B,FluidServe,260903_0302_exp113r1_fsv3capgnofrct75_shiftq,14.1906,False,58.7500,standard
c,Llama-3.1-8B,vLLM,260911_0250_exp126h62r2_vllmcachec25d50s38ftc2500d5000s3500_shift62,36.6722,True,60.0000,halved
c,Llama-3.1-8B,vLLM,260911_0136_exp126h62r1_vllmcachec25d50s38ftc2500d5000s3500_shift62,37.5242,False,60.0000,halved
c,Llama-3.1-8B,Llumnix,260911_0011_exp126h62r2_slotc25d50s38ftc2500d5000s3500_shift62,33.1906,True,60.0000,halved
c,Llama-3.1-8B,Llumnix,260910_1902_exp126h62r1_slotc25d50s38ftc2500d5000s3500_shift62,34.1733,False,60.0000,halved
c,Llama-3.1-8B,PolyServe,260910_1630_exp126h62r2_polyservepc25d50s38ftc2500d5000s3500_shift62,92.7175,True,60.0000,halved
c,Llama-3.1-8B,PolyServe,260910_1255_exp126h62r1_polyservepc25d50s38ftc2500d5000s3500_shift62,92.7753,False,60.0000,halved
c,Llama-3.1-8B,llm-d,260910_2302_exp126h62r2_llmdslotc25d50s38ftc2500d5000s3500_shift62,111.1975,True,60.0000,halved
c,Llama-3.1-8B,llm-d,260910_1753_exp126h62r1_llmdslotc25d50s38ftc2500d5000s3500_shift62,106.4039,False,60.0000,halved
c,Llama-3.1-8B,FluidServe,260910_1518_exp126h62r2_fsv3capgnofrcc25d50s38ftc2500d5000s3500_shift62,123.6050,True,60.0000,halved
c,Llama-3.1-8B,FluidServe,260910_1143_exp126h62r1_fsv3capgnofrcc25d50s38ftc2500d5000s3500_shift62,123.6661,False,60.0000,halved
