arm,run,series,minute,value,n_requests,engine_port,attainment_window_s
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0040,108.5483,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0206,120.2419,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0373,109.8156,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0540,85.2945,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0706,77.4280,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.0873,82.7627,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1040,76.5811,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1206,67.0815,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1373,60.0862,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1540,71.6908,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1706,82.7145,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.1873,88.4182,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2040,94.3576,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2206,107.1019,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2373,140.1715,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2540,122.9692,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2706,134.2448,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.2873,118.6127,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3040,127.8795,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3206,134.4286,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3373,178.2173,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3540,129.4788,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3706,116.9566,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.3873,103.3636,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4040,155.6050,,8002,15.0000
