estimator,j,error_pct,n_alive
global,0,43.626,156189
global_raw,0,43.626,156189
recent,0,43.347,155920
recent_raw,0,43.347,155920
pooled,0,43.626,156189
class,0,31.393,156189
global,50,44.330,146285
global_raw,50,44.330,146285
recent,50,44.291,146034
recent_raw,50,44.291,146034
pooled,50,43.926,146285
class,50,30.263,146285
global,100,46.045,139220
global_raw,100,46.045,139220
recent,100,46.375,138979
recent_raw,100,46.375,138979
pooled,100,45.419,139220
class,100,30.645,139220
global,150,48.765,133071
global_raw,150,48.765,133071
recent,150,49.289,132836
recent_raw,150,49.289,132836
pooled,150,47.709,133071
class,150,31.670,133071
global,200,51.959,126833
global_raw,200,51.959,126833
recent,200,52.964,126617
recent_raw,200,52.964,126617
pooled,200,50.280,126833
class,200,33.333,126833
global,300,61.194,112951
global_raw,300,61.194,112951
recent,300,63.442,112751
recent_raw,300,63.444,112751
pooled,300,55.623,112951
class,300,37.158,112951
global,400,76.369,95190
global_raw,400,76.369,95190
recent,400,80.284,95017
recent_raw,400,80.391,95017
pooled,400,59.554,95190
class,400,40.415,95190
global,500,99.612,74344
global_raw,500,106.977,74344
recent,500,98.333,74207
recent_raw,500,104.105,74207
pooled,500,57.774,74344
class,500,43.243,74344
global,600,99.638,55017
global_raw,600,142.754,55017
recent,600,99.615,54919
recent_raw,600,137.530,54919
pooled,600,50.000,55017
class,600,43.580,55017
global,700,99.602,42375
global_raw,700,186.853,42375
recent,700,99.602,42310
recent_raw,700,179.210,42310
pooled,700,46.482,42375
class,700,44.964,42375
global,800,99.510,33599
global_raw,800,255.882,33599
recent,800,99.510,33550
recent_raw,800,244.417,33550
pooled,800,48.905,33599
class,800,48.802,33599
global,1000,99.213,17046
global_raw,1000,507.874,17046
recent,1000,99.213,17024
recent_raw,1000,493.172,17024
pooled,1000,61.747,17046
global_mean,0,43.029,156189
global_raw_mean,0,43.029,156189
recent_mean,0,43.347,155920
recent_raw_mean,0,43.347,155920
pooled_mean,0,43.029,156189
class_mean,0,30.108,156189
global_mean,50,43.648,146285
global_raw_mean,50,43.648,146285
recent_mean,50,44.291,146034
recent_raw_mean,50,44.291,146034
pooled_mean,50,43.514,146285
class_mean,50,29.253,146285
global_mean,100,45.403,139220
global_raw_mean,100,45.403,139220
recent_mean,100,46.375,138979
recent_raw_mean,100,46.375,138979
pooled_mean,100,45.042,139220
class_mean,100,29.929,139220
global_mean,150,47.752,133071
global_raw_mean,150,47.752,133071
recent_mean,150,49.289,132836
recent_raw_mean,150,49.289,132836
pooled_mean,150,47.061,133071
class_mean,150,31.216,133071
global_mean,200,50.739,126833
global_raw_mean,200,50.739,126833
recent_mean,200,52.964,126617
recent_raw_mean,200,52.964,126617
pooled_mean,200,49.258,126833
class_mean,200,32.575,126833
global_mean,300,58.080,112951
global_raw_mean,300,58.080,112951
recent_mean,300,63.442,112751
recent_raw_mean,300,63.444,112751
pooled_mean,300,54.073,112951
class_mean,300,37.037,112951
global_mean,400,68.983,95190
global_raw_mean,400,68.983,95190
recent_mean,400,80.284,95017
recent_raw_mean,400,80.391,95017
pooled_mean,400,58.197,95190
class_mean,400,42.008,95190
global_mean,500,88.834,74344
global_raw_mean,500,88.834,74344
recent_mean,500,98.333,74207
recent_raw_mean,500,104.105,74207
pooled_mean,500,56.163,74344
class_mean,500,46.909,74344
global_mean,600,99.638,55017
global_raw_mean,600,124.095,55017
recent_mean,600,99.615,54919
recent_raw_mean,600,137.530,54919
pooled_mean,600,48.672,55017
class_mean,600,46.802,55017
global_mean,700,99.602,42375
global_raw_mean,700,166.336,42375
recent_mean,700,99.602,42310
recent_raw_mean,700,179.210,42310
pooled_mean,700,47.181,42375
class_mean,700,47.502,42375
global_mean,800,99.510,33599
global_raw_mean,800,230.639,33599
recent_mean,800,99.510,33550
recent_raw_mean,800,244.417,33550
pooled_mean,800,54.798,33599
class_mean,800,52.353,33599
global_mean,1000,99.213,17046
global_raw_mean,1000,467.325,17046
recent_mean,1000,99.213,17024
recent_raw_mean,1000,493.172,17024
pooled_mean,1000,95.311,17046
