estimator,j,error_pct,n_alive
global,0,43.804,34598
global_raw,0,43.804,34598
recent,0,44.909,33657
recent_raw,0,44.909,33657
memoryless,0,43.804,34598
memoryless_class,0,34.021,34598
pooled,0,43.804,34598
class,0,34.021,34598
global,50,44.186,32300
global_raw,50,44.186,32300
recent,50,45.428,31375
recent_raw,50,45.428,31375
memoryless,50,44.619,32300
memoryless_class,50,33.333,32300
pooled,50,44.518,32300
class,50,33.406,32300
global,100,46.122,30495
global_raw,100,46.122,30495
recent,100,47.446,29614
recent_raw,100,47.446,29614
memoryless,100,45.863,30495
memoryless_class,100,35.245,30495
pooled,100,46.164,30495
class,100,33.855,30495
global,150,48.792,29012
global_raw,150,48.792,29012
recent,150,50.631,28160
recent_raw,150,50.631,28160
memoryless,150,48.510,29012
memoryless_class,150,39.623,29012
pooled,150,48.414,29012
class,150,35.158,29012
global,200,52.134,27511
global_raw,200,52.134,27511
recent,200,54.700,26688
recent_raw,200,54.700,26688
memoryless,200,51.432,27511
memoryless_class,200,46.565,27511
pooled,200,50.292,27511
class,200,37.189,27511
global,300,62.559,24233
global_raw,300,62.559,24233
recent,300,66.048,23556
recent_raw,300,66.050,23556
memoryless,300,68.382,24233
memoryless_class,300,68.815,24233
pooled,300,56.082,24233
class,300,40.566,24233
global,400,80.000,19797
global_raw,400,80.000,19797
recent,400,84.302,19209
recent_raw,400,84.397,19209
memoryless,400,90.041,19797
memoryless_class,400,102.296,19797
pooled,400,58.944,19797
class,400,42.381,19797
global,500,99.554,15555
global_raw,500,118.750,15555
recent,500,99.275,15081
recent_raw,500,114.220,15081
memoryless,500,104.464,15555
memoryless_class,500,144.081,15555
pooled,500,62.226,15555
class,500,47.475,15555
global,600,99.605,11227
global_raw,600,156.126,11227
recent,600,99.588,10839
recent_raw,600,154.955,10839
memoryless,600,86.899,11227
memoryless_class,600,168.531,11227
pooled,600,55.769,11227
class,600,48.425,11227
global,700,99.583,8291
global_raw,700,200.833,8291
recent,700,99.580,8005
recent_raw,700,197.884,8005
memoryless,700,91.632,8291
memoryless_class,700,211.576,8291
pooled,700,50.617,8291
global,800,99.512,6393
global_raw,800,266.829,6393
recent,800,99.507,6178
recent_raw,800,265.278,6178
memoryless,800,123.415,6393
memoryless_class,800,284.000,6393
pooled,800,52.985,6393
global,1000,99.338,3241
global_raw,1000,458.940,3241
recent,1000,99.333,3122
recent_raw,1000,456.605,3122
memoryless,1000,203.311,3241
memoryless_class,1000,450.568,3241
pooled,1000,63.527,3241
global_mean,0,43.967,34598
global_raw_mean,0,43.967,34598
recent_mean,0,44.909,33657
recent_raw_mean,0,44.909,33657
memoryless_mean,0,43.967,34598
memoryless_class_mean,0,32.688,34598
pooled_mean,0,43.967,34598
class_mean,0,32.688,34598
global_mean,50,44.538,32300
global_raw_mean,50,44.538,32300
recent_mean,50,45.428,31375
recent_raw_mean,50,45.428,31375
memoryless_mean,50,45.008,32300
memoryless_class_mean,50,33.342,32300
pooled_mean,50,44.749,32300
class_mean,50,32.409,32300
global_mean,100,46.076,30495
global_raw_mean,100,46.076,30495
recent_mean,100,47.446,29614
recent_raw_mean,100,47.446,29614
memoryless_mean,100,46.854,30495
memoryless_class_mean,100,36.349,30495
pooled_mean,100,45.773,30495
class_mean,100,33.480,30495
global_mean,150,48.574,29012
global_raw_mean,150,48.574,29012
recent_mean,150,50.631,28160
recent_raw_mean,150,50.631,28160
memoryless_mean,150,50.299,29012
memoryless_class_mean,150,42.028,29012
pooled_mean,150,48.234,29012
class_mean,150,34.465,29012
global_mean,200,51.169,27511
global_raw_mean,200,51.169,27511
recent_mean,200,54.700,26688
recent_raw_mean,200,54.700,26688
memoryless_mean,200,56.529,27511
memoryless_class_mean,200,50.306,27511
pooled_mean,200,50.723,27511
class_mean,200,36.650,27511
global_mean,300,58.000,24233
global_raw_mean,300,58.000,24233
recent_mean,300,66.048,23556
recent_raw_mean,300,66.050,23556
memoryless_mean,300,85.696,24233
memoryless_class_mean,300,76.671,24233
pooled_mean,300,55.391,24233
class_mean,300,40.971,24233
global_mean,400,69.340,19797
global_raw_mean,400,69.340,19797
recent_mean,400,84.302,19209
recent_raw_mean,400,84.397,19209
memoryless_mean,400,112.664,19797
memoryless_class_mean,400,113.784,19797
pooled_mean,400,60.864,19797
class_mean,400,46.544,19797
global_mean,500,94.694,15555
global_raw_mean,500,94.694,15555
recent_mean,500,99.275,15081
recent_raw_mean,500,114.220,15081
memoryless_mean,500,128.804,15555
memoryless_class_mean,500,156.428,15555
pooled_mean,500,63.322,15555
class_mean,500,53.175,15555
global_mean,600,99.605,11227
global_raw_mean,600,134.577,11227
recent_mean,600,99.588,10839
recent_raw_mean,600,154.955,10839
memoryless_mean,600,102.578,11227
memoryless_class_mean,600,178.471,11227
pooled_mean,600,57.499,11227
class_mean,600,54.734,11227
global_mean,700,99.583,8291
global_raw_mean,700,178.116,8291
recent_mean,700,99.580,8005
recent_raw_mean,700,197.884,8005
memoryless_mean,700,113.550,8291
memoryless_class_mean,700,220.325,8291
pooled_mean,700,57.063,8291
global_mean,800,99.512,6393
global_raw_mean,800,240.234,6393
recent_mean,800,99.507,6178
recent_raw_mean,800,265.278,6178
memoryless_mean,800,150.010,6393
memoryless_class_mean,800,292.366,6393
pooled_mean,800,68.683,6393
global_mean,1000,99.338,3241
global_raw_mean,1000,422.834,3241
recent_mean,1000,99.333,3122
recent_raw_mean,1000,456.605,3122
memoryless_mean,1000,239.418,3241
memoryless_class_mean,1000,461.489,3241
pooled_mean,1000,109.785,3241
