tokens_produced,err_pooled_pct,err_pooled_lo,err_pooled_hi,err_class_pct,err_class_lo,err_class_hi,n_alive,err_chat_pct,n_alive_chat,err_deepresearch_pct,n_alive_deepresearch,err_swe_pct,n_alive_swe
0,43.804,43.247,44.262,35.607,34.939,36.214,34598,41.697,26610,13.866,5243,18.090,2745
50,40.580,40.058,41.098,31.542,30.939,32.150,32300,36.870,24352,13.700,5203,18.090,2745
100,38.147,37.623,38.721,28.762,28.212,29.245,30495,33.537,22547,13.700,5203,18.090,2745
150,36.104,35.680,36.719,26.694,26.245,27.271,29012,31.024,21064,13.700,5203,18.090,2745
200,34.577,34.142,35.162,24.881,24.297,25.395,27511,28.841,19579,13.700,5203,17.788,2729
300,30.474,30.023,31.063,21.107,20.612,21.545,24233,24.240,16556,13.700,5203,15.718,2474
400,26.181,25.787,26.628,16.884,16.388,17.335,19797,18.855,12572,13.695,5194,12.842,2031
500,23.467,23.151,23.950,14.354,13.964,14.859,15555,15.771,9132,13.434,5133,7.990,1290
600,19.972,19.584,20.408,13.473,12.897,13.981,11227,14.506,5695,13.078,5010,5.991,522
700,15.162,14.878,15.468,12.969,12.307,13.328,8291,13.980,3422,12.234,4713,,156
800,12.416,11.897,12.612,11.595,11.057,12.192,6393,12.899,2168,10.917,4173,,52
1000,8.996,8.515,9.497,9.748,9.065,10.600,3241,15.926,955,7.149,2270,,16
