panel,series,x_hours,value,x_minutes,n_requests,attainment_window_s,panel_bc_run,panel_bc_engine_port
a,arrival_rate_norm,0.00000,0.20566,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.01667,0.22069,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.03333,0.23306,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.05000,0.23572,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.06667,0.20953,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.08333,0.22710,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.10000,0.20212,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.11667,0.19748,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.13333,0.21229,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.15000,0.20500,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.16667,0.20709,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.18333,0.19958,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.20000,0.20389,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.21667,0.20400,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.23333,0.20919,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.25000,0.21627,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.26667,0.21052,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.28333,0.20610,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.30000,0.20964,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.31667,0.19184,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.33333,0.18941,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.35000,0.21715,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.36667,0.21837,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.38333,0.19859,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.40000,0.19936,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.41667,0.21848,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.43333,0.21019,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.45000,0.19218,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.46667,0.22091,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.48333,0.18046,,,,260831_2346_exp109r1_slot75_shift,8002
a,arrival_rate_norm,0.50000,0.21605,,,,260831_2346_exp109r1_slot75_shift,8002
