arm,req_per_s,n_repeats,rule,goodput_tok_s,goodput_tok_s_min,goodput_tok_s_max,throughput_tok_s,throughput_tok_s_min,throughput_tok_s_max,admitted_pct,admitted_pct_min,admitted_pct_max,rejected_pct,rejected_pct_min,rejected_pct_max
vLLM-router,10.0000,2,ladder95,5178.8737,5165.8769,5191.8704,5178.8737,5165.8769,5191.8704,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
vLLM-router,15.0000,2,ladder95,7751.7988,7736.8497,7766.7479,7751.7988,7736.8497,7766.7479,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
vLLM-router,20.0000,2,ladder95,10224.4375,10222.2528,10226.6221,10224.4375,10222.2528,10226.6221,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
vLLM-router,25.0000,2,ladder95,12443.7475,12402.5255,12484.9694,12607.4365,12602.2891,12612.5839,98.2187,97.6746,98.7627,0.0000,0.0000,0.0000
vLLM-router,35.0000,2,ladder95,3004.7885,2976.0083,3033.5687,14288.2398,14266.2002,14310.2794,13.6994,13.6152,13.7835,0.0000,0.0000,0.0000
vLLM-router,45.0000,2,ladder95,1456.4394,1442.1786,1470.7002,14214.3712,14104.7154,14324.0270,6.1716,6.1017,6.2416,0.0000,0.0000,0.0000
vLLM-router,55.0000,2,ladder95,1067.5138,1053.6029,1081.4247,14021.1263,13921.9194,14120.3332,3.7604,3.6295,3.8913,0.0000,0.0000,0.0000
vLLM-router,70.0000,1,ladder95,657.8197,657.8197,657.8197,13354.9356,13354.9356,13354.9356,1.2801,1.2801,1.2801,0.0000,0.0000,0.0000
PolyServe,10.0000,2,ladder95,5064.3218,5062.8771,5065.7664,5078.5210,5074.4318,5082.6102,99.0052,98.8508,99.1595,0.0000,0.0000,0.0000
PolyServe,15.0000,2,ladder95,7485.7097,7476.8930,7494.5263,7665.9138,7660.9033,7670.9244,94.9034,94.7956,95.0111,0.0000,0.0000,0.0000
PolyServe,20.0000,2,ladder95,9186.5924,9087.4506,9285.7342,10157.8304,10149.0966,10166.5643,84.4465,82.5908,86.3021,0.0000,0.0000,0.0000
PolyServe,25.0000,2,ladder95,10469.3285,10449.2414,10489.4155,12450.9522,12440.2842,12461.6202,72.6313,72.5085,72.7541,0.4329,0.3566,0.5092
PolyServe,35.0000,2,ladder95,9745.8779,9733.5019,9758.2538,14684.1035,14641.9944,14726.2126,50.3010,49.9714,50.6306,10.8136,10.6165,11.0108
PolyServe,45.0000,2,ladder95,8738.1754,8661.0901,8815.2607,14983.2564,14965.0426,15001.4702,42.7307,42.4631,42.9984,28.3143,28.1480,28.4805
PolyServe,55.0000,2,ladder95,8502.2796,8191.6613,8812.8980,15119.3114,15046.9499,15191.6729,41.0061,39.7634,42.2488,41.3101,41.2077,41.4125
PolyServe,70.0000,2,ladder95,7580.1664,7565.4806,7594.8522,14686.6314,14657.4324,14715.8304,36.6080,36.4378,36.7783,55.6080,55.5913,55.6248
Llumnix,10.0000,2,ladder95,5174.2978,5173.3131,5175.2825,5174.2978,5173.3131,5175.2825,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
Llumnix,15.0000,2,ladder95,7746.9261,7738.8209,7755.0312,7746.9261,7738.8209,7755.0312,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
