arm,req_per_s,met_pct,missed_pct,unfinished_pct,rejected_pct,met_pct_min,met_pct_max,missed_pct_min,missed_pct_max,unfinished_pct_min,unfinished_pct_max,rejected_pct_min,rejected_pct_max,errored_pct,n_arrivals,n_repeats,rule
vLLM-router,10.0000,99.5554,0.0000,0.4446,0.0000,99.4583,99.6525,0.0000,0.0000,0.3475,0.5417,0.0000,0.0000,0.0000,4610,2,ladder95
vLLM-router,15.0000,99.3507,0.0000,0.6493,0.0000,99.2947,99.4067,0.0000,0.0000,0.5933,0.7053,0.0000,0.0000,0.0000,6928,2,ladder95
vLLM-router,20.0000,98.8143,0.0000,1.1857,0.0000,98.7874,98.8412,0.0000,0.0000,1.1588,1.2126,0.0000,0.0000,0.0000,9235,2,ladder95
vLLM-router,25.0000,95.6671,1.7350,2.5979,0.0000,95.1236,96.2105,1.2053,2.2646,2.5841,2.6117,0.0000,0.0000,0.0000,11528,2,ladder95
vLLM-router,35.0000,10.7279,67.5813,21.6908,0.0000,10.6516,10.8043,67.5810,67.5816,21.6147,21.7668,0.0000,0.0000,0.0062,16145,2,ladder95
vLLM-router,45.0000,3.7491,57.0029,39.2479,0.0000,3.7289,3.7694,56.6228,57.3831,38.8881,39.6077,0.0000,0.0000,0.0048,20831,2,ladder95
vLLM-router,55.0000,1.8374,47.0347,51.1279,0.0000,1.7845,1.8903,46.6871,47.3823,50.8332,51.4226,0.0000,0.0000,0.0059,25416,2,ladder95
vLLM-router,70.0000,0.4916,37.9112,61.5972,0.0000,0.4916,0.4916,37.9112,37.9112,61.5972,61.5972,0.0000,0.0000,0.0031,32344,1,ladder95
PolyServe,10.0000,97.1368,0.9760,1.8872,0.0000,96.9441,97.3296,0.8250,1.1270,1.8454,1.9289,0.0000,0.0000,0.0000,4610,2,ladder95
PolyServe,15.0000,93.1402,5.0020,1.8578,0.0000,93.0582,93.2223,4.8950,5.1090,1.8329,1.8827,0.0000,0.0000,0.0000,6917,2,ladder95
PolyServe,20.0000,82.5029,15.1926,2.3044,0.0000,80.5766,84.4293,13.4006,16.9846,2.1701,2.4388,0.0000,0.0000,0.0000,9221,2,ladder95
PolyServe,25.0000,70.0692,26.4035,3.1076,0.4196,70.0586,70.0798,26.2364,26.5706,2.8549,3.3603,0.3446,0.4946,0.0000,11565,2,ladder95
PolyServe,35.0000,43.6877,43.1637,2.6180,10.5306,43.3154,44.0600,42.9625,43.3649,2.5946,2.6414,10.3361,10.7251,0.0000,16138,2,ladder95
PolyServe,45.0000,29.8763,40.0404,2.4676,27.6156,29.6286,30.1241,39.9346,40.1463,2.4394,2.4959,27.4454,27.7858,0.0000,20789,2,ladder95
PolyServe,55.0000,23.5906,33.9411,1.9733,40.4949,22.9054,24.2758,33.1834,34.6989,1.9260,2.0207,40.3750,40.6149,0.0000,25362,2,ladder95
PolyServe,70.0000,15.9959,27.6992,1.5698,54.7351,15.9257,16.0661,27.6175,27.7809,1.5586,1.5811,54.7123,54.7578,0.0000,32264,2,ladder95
Llumnix SLO,10.0000,99.3303,0.0000,0.6697,0.0000,99.0517,99.6089,0.0000,0.0000,0.3911,0.9483,0.0000,0.0000,0.0000,4621,2,ladder95
Llumnix SLO,15.0000,99.3134,0.0000,0.6866,0.0000,99.2924,99.3343,0.0000,0.0000,0.6657,0.7076,0.0000,0.0000,0.0000,6918,2,ladder95
Llumnix SLO,20.0000,98.5529,0.0326,1.4145,0.0000,98.4952,98.6107,0.0000,0.0651,1.3242,1.5048,0.0000,0.0000,0.0000,9225,2,ladder95
Llumnix SLO,25.0000,67.7044,28.4366,3.8590,0.0000,67.1555,68.2533,27.8815,28.9917,3.8528,3.8652,0.0000,0.0000,0.0000,11518,2,ladder95
Llumnix SLO,35.0000,19.8578,37.0338,3.9388,39.1697,19.4477,20.2678,35.8547,38.2128,3.8626,4.0149,38.3245,40.0149,0.0000,16122,2,ladder95
Llumnix SLO,45.0000,3.6620,22.4920,3.0331,70.8129,3.5066,3.8174,22.3454,22.6386,3.0269,3.0394,70.8102,70.8155,0.0000,20754,2,ladder95
