panel,arm,run,engine,role,n_windows,itl_ms,cdf,met_pct,missed_pct,unfinished_pct,rejected_pct
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,12.00000,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,12.48368,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,12.98685,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,13.51031,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,14.05486,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,14.62136,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,15.21070,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,15.82379,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,16.46159,0.00000,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,17.12510,0.08333,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,17.81535,0.09259,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,18.53343,0.09630,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,19.28044,0.09630,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,20.05757,0.10185,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,20.86602,0.10370,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,21.70706,0.10370,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,22.58199,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,23.49219,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,24.43908,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,25.42414,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,26.44889,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,27.51496,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,28.62399,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,29.77772,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,30.97796,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,32.22657,0.10741,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,33.52551,0.11667,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,34.87681,0.12593,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,36.28257,0.12778,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,37.74499,0.12963,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,39.26636,0.13333,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,40.84905,0.13333,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,42.49553,0.13519,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,44.20838,0.13889,,,,
a,PolyServe,260831_0805_exp108r1_polyservept75_t75fair_rpm_2100,8003.00000,drawn,540,45.99026,0.14074,,,,
