fleet,arm,slo_scale_k,attainment_offered_pct,attainment_offered_pct_min,attainment_offered_pct_max,attainment_admitted_pct,attainment_admitted_pct_min,attainment_admitted_pct_max,goodput_tok_s,goodput_tok_s_min,goodput_tok_s_max,rejection_pct,offered_ceiling_pct,in_flight_at_end_pct,n_repeats,n_arrivals,arm_dir,scoring_rule
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.6000,12.2145,12.1191,12.3098,15.3267,15.2772,15.3762,1831.6844,1803.3923,1859.9765,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/30, dr 10/60, swe 7/45 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.7000,17.3341,17.2178,17.4505,21.7524,21.5068,21.9979,2702.2983,2678.6101,2725.9866,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/35, dr 10/70, swe 7/52.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.8000,30.6808,30.5236,30.8381,38.5006,38.1269,38.8743,5403.3501,5366.2629,5440.4373,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/40, dr 10/80, swe 7/60 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.9000,66.2583,66.1939,66.3227,83.1444,82.6827,83.6061,9925.5221,9881.2426,9969.8016,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/45, dr 10/90, swe 7/67.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.0000,78.3508,77.9673,78.7343,98.3160,98.2851,98.3469,11492.9621,11465.0166,11520.9075,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/50, dr 10/100, swe 7/75 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.1000,79.5361,79.1705,79.9016,99.8034,99.8019,99.8050,11629.9748,11605.4645,11654.4852,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/55, dr 10/110, swe 7/82.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.2000,79.6024,79.2399,79.9649,99.8867,99.8840,99.8894,11630.8868,11606.0404,11655.7331,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/60, dr 10/120, swe 7/90 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.3000,79.6259,79.2634,79.9884,99.9161,99.9133,99.9190,11631.0378,11606.1859,11655.8897,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/65, dr 10/130, swe 7/97.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.5000,79.6524,79.2919,80.0129,99.9494,99.9439,99.9550,11631.9005,11607.7901,11656.0109,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/75, dr 10/150, swe 7/112.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,2.0000,79.6703,79.3113,80.0292,99.9719,99.9643,99.9794,11631.9847,11607.8898,11656.0796,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/100, dr 10/200, swe 7/150 (s, ms/token)"
