fleet,arm,slo_scale_k,attainment_offered_pct,attainment_offered_pct_min,attainment_offered_pct_max,attainment_admitted_pct,attainment_admitted_pct_min,attainment_admitted_pct_max,goodput_tok_s,goodput_tok_s_min,goodput_tok_s_max,rejection_pct,offered_ceiling_pct,in_flight_at_end_pct,n_repeats,n_arrivals,arm_dir,scoring_rule
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.6000,12.1823,12.0966,12.2680,15.2864,15.2489,15.3239,1824.3428,1798.5316,1850.1540,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/30, dr 10/60, swe 7/45 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.7000,17.3066,17.1852,17.4280,21.7178,21.4660,21.9696,2696.3346,2671.8695,2720.7996,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/35, dr 10/70, swe 7/52.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.8000,30.6242,30.4613,30.7871,38.4296,38.0492,38.8100,5388.1797,5349.1041,5427.2554,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/40, dr 10/80, swe 7/60 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,0.9000,66.2471,66.1827,66.3115,83.1303,82.6687,83.5919,9922.4396,9878.1875,9966.6916,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/45, dr 10/90, swe 7/67.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.0000,78.3508,77.9673,78.7343,98.3160,98.2851,98.3469,11492.9621,11465.0166,11520.9075,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/50, dr 10/100, swe 7/75 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.1000,79.5442,79.1776,79.9108,99.8137,99.8109,99.8165,11631.4874,11606.6583,11656.3166,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/55, dr 10/110, swe 7/82.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.2000,79.6162,79.2521,79.9802,99.9040,99.9031,99.9048,11633.0076,11607.8057,11658.2095,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/60, dr 10/120, swe 7/90 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.3000,79.6422,79.2766,80.0078,99.9366,99.9357,99.9375,11633.4827,11608.0853,11658.8801,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/65, dr 10/130, swe 7/97.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,1.5000,79.6687,79.3052,80.0322,99.9699,99.9681,99.9717,11634.3453,11609.6894,11659.0012,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/75, dr 10/150, swe 7/112.5 (s, ms/token)"
"(a) 4 x Llama-3.1-70B, TP=2",FluidServe,2.0000,79.6866,79.3246,80.0486,99.9923,99.9885,99.9961,11634.4295,11609.7891,11659.0699,20.3073,79.6927,0.2352,2,98225,fsv3capgnofrct75,"per-token budgets x k, first-token budgets fixed; chat 5/100, dr 10/200, swe 7/150 (s, ms/token)"
