arm_label,rate,throughput_tok_s,offered,admitted,rejected_pct,goodput_tok_s,offered_count,on_baseline_frontier
FluidServe,10.00,5164.31,100.00,100.00,0.00,5164.31,2,False
FluidServe,15.00,7691.75,99.93,100.00,0.07,7691.75,2,False
FluidServe,20.00,10149.95,99.75,100.00,0.25,10149.95,2,False
FluidServe,25.00,12296.02,97.35,100.00,2.65,12295.99,2,False
FluidServe,35.00,13799.15,77.17,99.84,22.70,13796.44,2,False
FluidServe,45.00,15511.29,69.50,99.91,30.44,15503.49,2,False
FluidServe,55.00,14868.18,52.33,99.85,47.59,14860.70,2,False
FluidServe,70.00,15366.73,43.11,99.75,56.79,15354.66,2,False
llm-d,10.00,5128.49,99.77,99.77,0.00,5127.43,2,False
llm-d,15.00,7726.19,98.52,98.55,0.04,7684.51,2,False
llm-d,20.00,9990.88,96.84,99.22,2.40,9973.16,2,False
llm-d,25.00,9207.95,64.23,96.08,33.18,9073.87,2,False
llm-d,35.00,8876.01,44.00,98.20,55.18,8814.78,2,False
llm-d,45.00,9655.20,37.52,97.67,61.55,9565.40,2,False
llm-d,55.00,8110.47,23.67,97.88,75.84,8081.45,2,False
llm-d,70.00,7645.66,15.86,92.99,82.98,7427.54,2,False
PolyServe,10.00,5078.52,99.01,99.01,0.00,5064.32,2,False
PolyServe,15.00,7665.91,94.90,94.90,0.00,7485.71,2,False
PolyServe,20.00,10157.83,84.45,84.45,0.00,9186.59,2,False
PolyServe,25.00,12450.95,72.32,72.63,0.43,10469.33,2,False
PolyServe,35.00,14684.10,44.86,50.30,10.81,9745.88,2,True
PolyServe,45.00,14983.26,30.63,42.73,28.31,8738.18,2,True
PolyServe,55.00,15119.31,24.07,41.01,41.31,8502.28,2,True
PolyServe,70.00,14686.63,16.25,36.61,55.61,7580.17,2,False
Llumnix SLO,10.00,5174.30,100.00,100.00,0.00,5174.30,2,False
Llumnix SLO,15.00,7746.93,100.00,100.00,0.00,7746.93,2,False
Llumnix SLO,20.00,10223.94,99.97,99.97,0.00,10223.63,2,False
Llumnix SLO,25.00,12491.52,70.42,70.42,0.00,10243.91,2,False
Llumnix SLO,35.00,11659.42,20.67,34.92,40.78,6564.93,2,False
Llumnix SLO,45.00,8939.63,3.78,14.00,73.03,4990.33,2,False
Llumnix SLO,55.00,8994.74,1.11,5.66,80.43,5410.89,2,False
Llumnix SLO,70.00,9841.39,0.43,2.64,83.72,5155.95,2,False
vLLM-router,10.00,5178.87,100.00,100.00,0.00,5178.87,2,False
vLLM-router,15.00,7751.80,100.00,100.00,0.00,7751.80,2,False
vLLM-router,20.00,10224.44,100.00,100.00,0.00,10224.44,2,True
vLLM-router,25.00,12607.44,98.22,98.22,0.00,12443.75,2,True
vLLM-router,35.00,14288.24,13.70,13.70,0.00,3004.79,2,False
vLLM-router,45.00,14214.37,6.17,6.17,0.00,1456.44,2,False
vLLM-router,55.00,14021.13,3.76,3.76,0.00,1067.51,2,False
vLLM-router,70.00,13354.94,1.28,1.28,0.00,657.82,1,False
