model,arm,cut_minute,admitted_pct,admitted_pct_repeat1,met_requests,met_requests_repeat1,arrivals,req_goodput_s,req_goodput_s_repeat1,run_drawn,run_other,met_pct,missed_pct,rejected_pct,unfinished_pct,met_norm_fs_pct,missed_norm_fs_pct,rejected_norm_fs_pct,unfinished_norm_fs_pct,norm_base
Llama-3.1-70B,vLLM,59.2500,45.3670,45.1839,21151,21447,87335,5.9496,6.0329,260901_2010_exp109r2_vllmcachet75_shift,260901_2137_exp109r1_vllmcachet75_shift,24.2182,29.1647,0.0000,46.6170,27.6531,33.3011,0.0000,53.2287,FluidServe met = 76487
Llama-3.1-70B,PolyServe,59.2500,65.1719,66.9763,51637,50046,96684,14.5252,14.0776,260901_1742_exp109r2_polyservept75_shift,260831_2232_exp109r1_polyservept75_shift,53.4080,28.5414,18.0412,0.0093,67.5108,36.0780,22.8052,0.0118,FluidServe met = 76487
Llama-3.1-70B,Llumnix SLO,59.2500,47.1180,46.2306,27581,27185,96678,7.7584,7.6470,260901_1856_exp109r2_slot75_shift,260831_2346_exp109r1_slot75_shift,28.5287,32.0187,39.4361,0.0165,36.0597,40.4709,49.8464,0.0209,FluidServe met = 76487
Llama-3.1-70B,llm-d,59.2500,97.9516,97.8561,54512,48199,96688,15.3339,13.5581,260901_1637_exp109r2_llmdslot75_shift,260831_2128_exp109r1_llmdslot75_shift,56.3793,1.1791,42.4396,0.0021,71.2696,1.4904,53.6483,0.0026,FluidServe met = 76487
Llama-3.1-70B,FluidServe,59.2500,99.9608,99.9456,76487,77182,96693,21.5153,21.7108,260901_1514_exp109r2_fsv3capgnofrct75_shift,260831_2015_exp109r1_fsv3capgnofrct75_shift,79.1029,0.0310,20.8629,0.0031,100.0000,0.0392,26.3744,0.0039,FluidServe met = 76487
Qwen2.5-72B,vLLM,58.7500,58.1085,55.1596,14949,14951,56073,4.2409,4.2414,260903_1406_exp113r2_vllmcachet75_shiftq,260903_0702_exp113r1_vllmcachet75_shiftq,26.6599,19.2196,0.0000,54.1205,29.9381,21.5829,0.0000,60.7754,FluidServe met = 49933
Qwen2.5-72B,PolyServe,58.7500,97.6991,97.5922,37153,36965,61509,10.5399,10.4865,260903_1139_exp113r2_polyservept75_shiftq,260903_0436_exp113r1_polyservept75_shiftq,60.4025,1.4226,38.1716,0.0033,74.4057,1.7523,47.0210,0.0040,FluidServe met = 49933
Qwen2.5-72B,Llumnix SLO,58.7500,53.5611,53.1134,18575,18518,61510,5.2695,5.2533,260903_1252_exp113r2_slot75_shiftq,260903_0548_exp113r1_slot75_shiftq,30.1983,26.1827,43.5019,0.1171,37.1998,32.2532,53.5878,0.1442,FluidServe met = 49933
Qwen2.5-72B,llm-d,58.7500,98.2957,98.0625,35067,33709,61514,9.9481,9.5628,260903_1537_exp113r2_llmdslot75_shiftq,260903_0834_exp113r1_llmdslot75_shiftq,57.0065,0.9884,42.0002,0.0049,70.2281,1.2176,51.7413,0.0060,FluidServe met = 49933
Qwen2.5-72B,FluidServe,58.7500,99.9280,99.9061,49933,50022,61505,14.1654,14.1906,260903_1031_exp113r2_fsv3capgnofrct75_shiftq,260903_0302_exp113r1_fsv3capgnofrct75_shiftq,81.1853,0.0585,18.7383,0.0179,100.0000,0.0721,23.0809,0.0220,FluidServe met = 49933
